screen_rank_descending,screen_rank_ascending,screen_percentile,screen_tier,event,stratum,median_max_pair_s90,top_summary_driver_parameter,top_summary_driver_max_pair_s90,top_summary_driver_median_pair_s90,size_bytes,filename,content_url,direct_posterior_audit_status,median_posterior_model_norm_W1,median_balanced_observed_W1,CLEAR_ABOVE_NULL,posterior_value_estimated_for_unaudited,interpretation
1,31,1.0,SCREEN_TIER_A,GW230825_041334,Q4_HIGH,0.2087676235693899,final_mass_source,0.2619340858433161,0.2016559725692377,234654040,IGWN-GWTC4p0-38214bd95_724-GW230825_041334-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230825_041334-combined_PEDataRelease.hdf5/content,AUDITED_PRIORITY_RUN23,0.1103546505161801,0.1116049329222937,21.0,False,Direct targeted posterior audit available; selected from screen rank 1
2,30,0.967741935483871,AUDITED_HOLDOUT,GW230928_215827,Q4_HIGH,0.1986234525242127,luminosity_distance,0.2566824536344624,0.2089333575289555,165859244,IGWN-GWTC4p0-38214bd95_724-GW230928_215827-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230928_215827-combined_PEDataRelease.hdf5/content,AUDITED_HOLDOUT,0.0967734811380001,0.0983918674496797,19.0,False,Direct posterior holdout result available
3,29,0.935483870967742,SCREEN_TIER_A,GW231206_233901,Q4_HIGH,0.1908740052593957,chi_eff,0.2930888582777314,0.214535977768234,189649148,IGWN-GWTC4p0-38214bd95_724-GW231206_233901-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW231206_233901-combined_PEDataRelease.hdf5/content,AUDITED_PRIORITY_RUN24,0.1242585817538777,0.1255423185404411,20.0,False,Direct targeted posterior audit available; selected as highest-ranked unaudited event after RUN23
4,28,0.9032258064516128,SCREEN_TIER_A,GW231206_233134,Q4_HIGH,0.1312999842669179,chirp_mass_source,0.1845228061429672,0.1070564859228758,131615660,IGWN-GWTC4p0-38214bd95_724-GW231206_233134-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW231206_233134-combined_PEDataRelease.hdf5/content,AUDITED_PRIORITY_RUN25,0.0874465151219338,0.0876825906099574,17.0,False,Direct targeted posterior audit available; selected as highest-ranked unaudited event after RUN24
5,27,0.8709677419354839,AUDITED_HOLDOUT,GW230805_034249,Q4_HIGH,0.1307566697447743,mass_1_source,0.2155919545106893,0.1867275043034155,134444012,IGWN-GWTC4p0-38214bd95_724-GW230805_034249-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230805_034249-combined_PEDataRelease.hdf5/content,AUDITED_HOLDOUT,0.0974332273778903,0.0987010229249909,18.0,False,Direct posterior holdout result available
6,26,0.8387096774193549,SCREEN_TIER_A,GW230702_185453,Q4_HIGH,0.1207112997500066,mass_2_source,0.2818388986039176,0.2415214093196339,149600052,IGWN-GWTC4p0-38214bd95_724-GW230702_185453-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230702_185453-combined_PEDataRelease.hdf5/content,AUDITED_PRIORITY_RUN26,0.097602347691089,0.0997338252976219,19.0,False,Direct targeted posterior audit available; selected as highest-ranked unaudited event after RUN25
7,25,0.8064516129032258,SCREEN_TIER_A,GW230628_231200,Q4_HIGH,0.117097505931161,final_spin,0.1921966831192538,0.1712452767569298,159650500,IGWN-GWTC4p0-38214bd95_724-GW230628_231200-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230628_231200-combined_PEDataRelease.hdf5/content,AUDITED_PRIORITY_RUN27,0.0937614396828144,0.0954414357076102,20.0,False,Direct targeted posterior audit available; selected as highest-ranked unaudited event after RUN26
8,24,0.7741935483870968,SCREEN_TIER_B,GW230630_125806,Q4_HIGH,0.1083931893552047,final_spin,0.1942950053375519,0.1106817141802895,133330396,IGWN-GWTC4p0-38214bd95_724-GW230630_125806-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230630_125806-combined_PEDataRelease.hdf5/content,AUDITED_TIER_B_BOUNDARY_RUN29,0.0679938600341517,0.0691613609210342,16.0,False,Direct Tier B boundary audit available; upper-boundary case frozen in RUN28
9,23,0.7419354838709677,SCREEN_TIER_B,GW230814_230901,Q3_HIGHMID,0.0995659014609101,luminosity_distance,0.1269338183809746,0.1030002538009838,140070632,IGWN-GWTC4p0-38214bd95_724-GW230814_230901-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230814_230901-combined_PEDataRelease.hdf5/content,UNAUDITED,,,,False,Intermediate-priority unaudited event
10,22,0.7096774193548387,SCREEN_TIER_B,GW230708_230935,Q3_HIGHMID,0.0842585057313113,final_spin,0.1167031255276562,0.0962808920168242,205603600,IGWN-GWTC4p0-38214bd95_724-GW230708_230935-combined_PEDataRelease.hdf5,https://zenodo.org/api/records/17602505/files/IGWN-GWTC4p0-38214bd95_724-GW230708_230935-combined_PEDataRelease.hdf5/content,UNAUDITED,,,,False,Intermediate-priority unaudited event
