pair_id,event_id,base_modes,variant_modes,expected_mode_relation,observed_mode_relation,non_mode_difference_count,non_mode_difference_keys,config_equal_except_mode,lineage_grade,causal_d05_claim_authorized
PAIR00018,GW230601_224134,,,BASE=220;VARIANT=220|330,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00063,GW230609_064958,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00106,GW230628_231200,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00144,GW230811_032116,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00187,GW230814_061920,,,BASE=220;VARIANT=200|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00225,GW230824_033047,,,BASE=220;VARIANT=220|320,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00270,GW230914_111401,,,BASE=220;VARIANT=200|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00315,GW230922_020344,,,BASE=220;VARIANT=210|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00360,GW230922_040658,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00405,GW230924_124453,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00450,GW230927_043729,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00495,GW230927_153832,,,BASE=220;VARIANT=210|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00540,GW230928_215827,,,BASE=220;VARIANT=220|320,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00583,GW231001_140220,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00621,GW231028_153006,,,BASE=220;VARIANT=200|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00666,GW231102_071736,,,BASE=220;VARIANT=220|320,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00711,GW231108_125142,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00754,GW231206_233134,,,BASE=220;VARIANT=220|320,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00792,GW231206_233901,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00837,GW231213_111417,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00880,GW231223_032836,,,BASE=220;VARIANT=220|221,FAIL,0,,true,B_DIRECT_PARTIAL,false
PAIR00918,GW231226_101520,,,BASE=220;VARIANT=210|220,FAIL,0,,true,B_DIRECT_PARTIAL,false
