endpoint_id,pair_id,event_id,role,member_sha256,sample_count,weight_mode,minimum,q05,median,mean,q95,maximum,width90,total_weight,numeric_state,unresolved_reason
PAIR00018:BASE,PAIR00018,GW230601_224134,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00018:VARIANT,PAIR00018,GW230601_224134,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00063:BASE,PAIR00063,GW230609_064958,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00063:VARIANT,PAIR00063,GW230609_064958,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00106:BASE,PAIR00106,GW230628_231200,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00106:VARIANT,PAIR00106,GW230628_231200,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00144:BASE,PAIR00144,GW230811_032116,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00144:VARIANT,PAIR00144,GW230811_032116,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00187:BASE,PAIR00187,GW230814_061920,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00187:VARIANT,PAIR00187,GW230814_061920,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00225:BASE,PAIR00225,GW230824_033047,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00225:VARIANT,PAIR00225,GW230824_033047,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00270:BASE,PAIR00270,GW230914_111401,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00270:VARIANT,PAIR00270,GW230914_111401,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00315:BASE,PAIR00315,GW230922_020344,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00315:VARIANT,PAIR00315,GW230922_020344,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00360:BASE,PAIR00360,GW230922_040658,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00360:VARIANT,PAIR00360,GW230922_040658,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00405:BASE,PAIR00405,GW230924_124453,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00405:VARIANT,PAIR00405,GW230924_124453,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00450:BASE,PAIR00450,GW230927_043729,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
