endpoint_id,pair_id,event_id,role,dat_member,dat_size_bytes,config_member,config_size_bytes,header_token_count,parameter_token,parameter_column_index,weight_mode,weight_column_index,support_min,support_max,kerr_modes,dat_header_prefix_sha256,config_sha256,member_gate,header_gate,config_gate,schema_state,unresolved_reason,values_interpreted
PAIR00018:BASE,PAIR00018,GW230601_224134,BASE,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_np_10M/pyRing_GW230601_224134_Kerr_220_np_10M.dat,24648838,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_np_10M/config_GW230601_224134_Kerr_220_np_10M.ini,1097,7,af,2,IMPLICIT_UNIT,,,,,a603e5cb914a81f29d810127183a757c27a3f1227489398b75d80e813734ddc0,08d45d497c2c2c8561caab572ea42e0944b72dfa9eb5ef7d028add5d43e9bcf2,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00018:VARIANT,PAIR00018,GW230601_224134,VARIANT,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_330_np_10M/pyRing_GW230601_224134_Kerr_220_330_np_10M.dat,20945903,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_330_np_10M/config_GW230601_224134_Kerr_220_330_np_10M.ini,1108,9,af,2,IMPLICIT_UNIT,,,,,b54043d0388bd424cc374980530daf24f9c85d81b038a57e265c6d222ddd81c6,474c01b659882d3861f6d41e9539d24e6bf6d0aecfb331feda61eaaabf374cdf,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00063:BASE,PAIR00063,GW230609_064958,BASE,pyring/samples/GW230609_064958/GW230609_064958_Kerr_220_np_10M/pyRing_GW230609_064958_Kerr_220_np_10M.dat,15519732,pyring/samples/GW230609_064958/GW230609_064958_Kerr_220_np_10M/config_GW230609_064958_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,04114e47f3412109329c0c968724358eafdb1d51051aaa69984bcb8b8d86f3a4,36ed73834ef3aad9ebadffaed020eb4e6dbf4e74f30cd86075039fa3ca1aa9b0,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00063:VARIANT,PAIR00063,GW230609_064958,VARIANT,pyring/samples/GW230609_064958/GW230609_064958_Kerr_221_np_10M/pyRing_GW230609_064958_Kerr_221_np_10M.dat,17597638,pyring/samples/GW230609_064958/GW230609_064958_Kerr_221_np_10M/config_GW230609_064958_Kerr_221_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,bbc1a23ef8a0bb1201b0e3174c0beb534f5f2f32994f8fe6bf436fd2263f6e57,f13dd39cfc090b3e2550caab11071352ac943c3df27489ba06010c86fe935d4a,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00106:BASE,PAIR00106,GW230628_231200,BASE,pyring/samples/GW230628_231200/GW230628_231200_Kerr_220_np_10M/pyRing_GW230628_231200_Kerr_220_np_10M.dat,12809002,pyring/samples/GW230628_231200/GW230628_231200_Kerr_220_np_10M/config_GW230628_231200_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,19f489f93c36b7374e77b5ee4e2af1e1898d161597ae6e4de2122dcc0e3c1c6e,92b879d00aaa51d4f78fd14ee76e97acca2f93c766f7da72c2853e59d05dcdc4,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00106:VARIANT,PAIR00106,GW230628_231200,VARIANT,pyring/samples/GW230628_231200/GW230628_231200_Kerr_221_np_10M/pyRing_GW230628_231200_Kerr_221_np_10M.dat,13112219,pyring/samples/GW230628_231200/GW230628_231200_Kerr_221_np_10M/config_GW230628_231200_Kerr_221_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,9938a484f2168cc1b3cf27cb01976a26ad3836b205f94e0e61eed22e19e65571,9cb02fb3f8820ac054051de73d978bb0594474f86071ba7f892e5e8f51514df0,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00144:BASE,PAIR00144,GW230811_032116,BASE,pyring/samples/GW230811_032116/GW230811_032116_Kerr_220_np_10M/pyRing_GW230811_032116_Kerr_220_np_10M.dat,14092692,pyring/samples/GW230811_032116/GW230811_032116_Kerr_220_np_10M/config_GW230811_032116_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,55e763e7ea7c2804e934c1c4cb7ec432986dcce5d6d96d0ea23c6a24ae3c5068,84cea20f25b7af4c0fc84725be33d148ba88944ded3455b6902bdfff55c38d9b,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00144:VARIANT,PAIR00144,GW230811_032116,VARIANT,pyring/samples/GW230811_032116/GW230811_032116_Kerr_221_np_10M/pyRing_GW230811_032116_Kerr_221_np_10M.dat,21557721,pyring/samples/GW230811_032116/GW230811_032116_Kerr_221_np_10M/config_GW230811_032116_Kerr_221_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,c39c8cbbaa05580e95656f5057112a36055f34fd4bc018a2c4d33e70ef95e96c,14d24c3d4596927d39bbdf00146a9765809072caedc21e8221870bfa1774db02,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00187:BASE,PAIR00187,GW230814_061920,BASE,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_np_10M/pyRing_GW230814_061920_Kerr_220_np_10M.dat,10569086,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_np_10M/config_GW230814_061920_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,7b67adce418bf7ce59561079281bb877379f0891b57d28f0e6ab6fa46e34d0e0,dcdf0c568e8f1a897e8e0c56c0051cf4622ba5ec73a2e9c0fb1dfe043de38ed1,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00187:VARIANT,PAIR00187,GW230814_061920,VARIANT,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_200_np_10M/pyRing_GW230814_061920_Kerr_220_200_np_10M.dat,14347060,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_200_np_10M/config_GW230814_061920_Kerr_220_200_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,ccccf277049c7f7f0150d00b646f684c8f1f14b27a21a3b22f91ce9e2cf937e2,4f85dcb707e12df98300e55e7d33f64d4429a321a36938777f8f39163c23e422,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
