pair_id,event_id,family_id,dependency_axis,variant_mode_token,lineage_grade,schema_state,base_sample_count,variant_sample_count,base_q05,base_median,base_q95,base_width90,variant_q05,variant_median,variant_q95,variant_width90,metric_id,m01,threshold,classification,non_mode_config_difference_count,causal_d05_claim_authorized,unresolved_reason
PAIR00018,GW230601_224134,AF01,D05,220_330,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00063,GW230609_064958,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00106,GW230628_231200,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00144,GW230811_032116,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00187,GW230814_061920,AF01,D05,220_200,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00225,GW230824_033047,AF01,D05,220_320,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00270,GW230914_111401,AF01,D05,220_200,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00315,GW230922_020344,AF01,D05,220_210,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00360,GW230922_040658,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00405,GW230924_124453,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00450,GW230927_043729,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00495,GW230927_153832,AF01,D05,220_210,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00540,GW230928_215827,AF01,D05,220_320,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00583,GW231001_140220,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00621,GW231028_153006,AF01,D05,220_200,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00666,GW231102_071736,AF01,D05,220_320,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00711,GW231108_125142,AF01,D05,221,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00754,GW231206_233134,AF01,D05,220_320,B_DIRECT_PARTIAL,UNRESOLVED,,,,,,,,,,,M01,,0.5,UNRESOLVED_NO_IMPUTATION,0,false,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
