queue_id,scope,pair_id,event_id,reason,blocking,allowed_next_action
P6-PAIR00018,primary_pair_schema_or_numeric,PAIR00018,GW230601_224134,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00063,primary_pair_schema_or_numeric,PAIR00063,GW230609_064958,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00106,primary_pair_schema_or_numeric,PAIR00106,GW230628_231200,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00144,primary_pair_schema_or_numeric,PAIR00144,GW230811_032116,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00187,primary_pair_schema_or_numeric,PAIR00187,GW230814_061920,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00225,primary_pair_schema_or_numeric,PAIR00225,GW230824_033047,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00270,primary_pair_schema_or_numeric,PAIR00270,GW230914_111401,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00315,primary_pair_schema_or_numeric,PAIR00315,GW230922_020344,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00360,primary_pair_schema_or_numeric,PAIR00360,GW230922_040658,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00405,primary_pair_schema_or_numeric,PAIR00405,GW230924_124453,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
