endpoint_id,pair_id,event_id,role,target_id,key_exact,key_canonical,line_number,section,declaration_scope,inherited_into_sections,inherited_reference_count,value_text,value_text_truncated,value_sha256
PAIR00018:BASE,PAIR00018,GW230601_224134,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00018:BASE,PAIR00018,GW230601_224134,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00018:VARIANT,PAIR00018,GW230601_224134,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00018:VARIANT,PAIR00018,GW230601_224134,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,3,3,0)]",false,d76bcdaa27e2c6e0458335e2d2acf20b81b192774ebb101c8e7d3bbe0d8ef667
PAIR00063:BASE,PAIR00063,GW230609_064958,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00063:BASE,PAIR00063,GW230609_064958,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00063:VARIANT,PAIR00063,GW230609_064958,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00063:VARIANT,PAIR00063,GW230609_064958,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00106:BASE,PAIR00106,GW230628_231200,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00106:BASE,PAIR00106,GW230628_231200,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00106:VARIANT,PAIR00106,GW230628_231200,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00106:VARIANT,PAIR00106,GW230628_231200,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00144:BASE,PAIR00144,GW230811_032116,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
