pair_id,event_id,base_structure_state,variant_structure_state,base_config_sha256,variant_config_sha256,base_target_like_count,variant_target_like_count,mode_relation_state,non_mode_difference_count,non_mode_difference_keys,config_equal_except_mode,lineage_grade,causal_d05_claim_authorized,adjudication_reason
PAIR00018,GW230601_224134,CAPTURED,CAPTURED,08d45d497c2c2c8561caab572ea42e0944b72dfa9eb5ef7d028add5d43e9bcf2,474c01b659882d3861f6d41e9539d24e6bf6d0aecfb331feda61eaaabf374cdf,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00063,GW230609_064958,CAPTURED,CAPTURED,36ed73834ef3aad9ebadffaed020eb4e6dbf4e74f30cd86075039fa3ca1aa9b0,f13dd39cfc090b3e2550caab11071352ac943c3df27489ba06010c86fe935d4a,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00106,GW230628_231200,CAPTURED,CAPTURED,92b879d00aaa51d4f78fd14ee76e97acca2f93c766f7da72c2853e59d05dcdc4,9cb02fb3f8820ac054051de73d978bb0594474f86071ba7f892e5e8f51514df0,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00144,GW230811_032116,CAPTURED,CAPTURED,84cea20f25b7af4c0fc84725be33d148ba88944ded3455b6902bdfff55c38d9b,14d24c3d4596927d39bbdf00146a9765809072caedc21e8221870bfa1774db02,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00187,GW230814_061920,CAPTURED,CAPTURED,dcdf0c568e8f1a897e8e0c56c0051cf4622ba5ec73a2e9c0fb1dfe043de38ed1,4f85dcb707e12df98300e55e7d33f64d4429a321a36938777f8f39163c23e422,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00225,GW230824_033047,CAPTURED,CAPTURED,92b93dd3181244ad162d8b2428a4d4d6ba1535f77be116d5960db5eb36eb83c7,16efefe07903db96ca8d8a68b530c11cfb2939d525c9fbd3ddd46e05cc8db647,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00270,GW230914_111401,CAPTURED,CAPTURED,b2979d2d55b86ab8735be879e013b616e5e5a8e4fd5cc5df5eb4f90a2491f9bb,046bc70882885a4429186efcaec9705838b17ac42abdb3f2620df82f60d5c94d,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00315,GW230922_020344,CAPTURED,CAPTURED,e2a19bbb83991c847606afa0d8726869519dd2d15db2467e62ba74c8999a9797,254503324e5ba7181dcafece317465bd00eb0fb9955c7fd8c7d140ac0c1cf14c,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00360,GW230922_040658,CAPTURED,CAPTURED,ccd52e349f0aa4aa005790b917e96f847e1c4ff1d8e3279197359879baf1e6ed,e247209e94f4a3a8d31eeca66bc2b25d483c38fa0741ee61ff02b5066576ccc3,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00405,GW230924_124453,CAPTURED,CAPTURED,134078dfe814cdb113b99e2398e1b736a290d11805a511326f528087e1ffce3a,281fc0f74f0df3d2d5c07a3f6a6624812c55753371c71e62dea0f37739fea60d,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00450,GW230927_043729,CAPTURED,CAPTURED,d3eda48f013798124bf26aaa8d3be41177d0c8c5ca0d4687cbfa80ed5531c5e9,0311d1417a4e26fd9d0b589091863176f72d8ef5c0e5cce93c43041c3b387ba3,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00495,GW230927_153832,CAPTURED,CAPTURED,fd90001317762c55ba36728fdd129a80c54e5c7f7ef9da4974bce049f0b6919b,a8ade2869224b0e8dcfb4e3e024b4be5f1f7bf5ae210481b442dee54a32f344a,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00540,GW230928_215827,CAPTURED,CAPTURED,bf519e9750c9a2bf4df9d7e4536c2be3dbdb3d10365b5d45336fb73ad369a5ca,15906db0a9b94814f14c6763a85617777984cd5bce729a0feaa7255e6c44389b,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00583,GW231001_140220,CAPTURED,CAPTURED,3f1c9bf19c7491df6e4977ef84e183ce5d8b7934e38b86cf2754fdec7f8fef73,f5adfd4c4eec37f10f2fa6e04284862251a5b69b0e8b8a4e45b00c1ca2e07a96,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00621,GW231028_153006,CAPTURED,CAPTURED,b8ea3588bb0b8d7f70286a8249f64f8fd2db59f37d3299ed0b9325a9c129f162,d8d87dd1371c7157d2c09c35324c306f5af3127eec7e6e3ce49aca98ec803bae,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00666,GW231102_071736,CAPTURED,CAPTURED,6f5cdd0e93a67b2676cb23299c20c6dba712cb6ca6d6b975df5bd2656baaec20,7c569dd7b99c093e893bb2fa2bf4049d6607aeb96ed1e5156cdba97e9f69ea3f,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00711,GW231108_125142,CAPTURED,CAPTURED,aa534dc8474196d0423ac02589fbe2cbb41f96d8e972695b9c3d7c7bd22f43aa,711f78ec5ac576492607869ad56d31f18e4566b3896d1888ec57831473c12826,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00754,GW231206_233134,CAPTURED,CAPTURED,1e58484cae8f732970dbe28a978f51b7cb9ae627f28c9dd852f541b1999c9b63,6a86619479ed5cafaef975cadd406da1316283aaee45af9d387f1d760d6195ee,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00792,GW231206_233901,CAPTURED,CAPTURED,06289205748546b5b5c44e221f6b654a9e94698c9a3bb0b24ae9be28eb9cc736,7a0388f787bece715cc9d7d7699c25e03f396cdf2f49ebabd3f1513c9b54cab3,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00837,GW231213_111417,CAPTURED,CAPTURED,87f4fc7d08e22788651c7fc314ddedc918eb943a531d0bb905a93d9485151459,d2f25c8f540ece4c02225eec84feae07f354c48e5a1edc7e0d130773f1c4d954,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00880,GW231223_032836,CAPTURED,CAPTURED,b3fbc2b43b2a30302c0a3ac40ad99b36137f62f729b4576d291ef01cec2e82cd,046dd14375887505516f050da997eb6c0c5ca97f60ecc323bc0907388df55538,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
PAIR00918,GW231226_101520,CAPTURED,CAPTURED,9f09e3a93e5ab94dd015bc8a2ea98f7fcb352446130922d5cd92d5111780a109,f2bb53f0ec7fbdf46ba7f0ed550329710328dc8174fd10120ebb98ce712eea5b,2,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,B_DIRECT_PARTIAL,false,RUN02_STRUCTURE_CAPTURE_ONLY_NO_CONFIG_EQUALITY_OR_MODE_RELATION_ADJUDICATION
