pair_id,event_id,family_id,dependency_axis,base_object_id,variant_object_id,variant_mode_token,base_dat_member,base_dat_size_bytes,base_config_member,base_config_size_bytes,variant_dat_member,variant_dat_size_bytes,variant_config_member,variant_config_size_bytes,lineage_grade,schema_state,numeric_use_authorized_in_phase5
PAIR00018,GW230601_224134,AF01,D05,AF01:GW230601_224134_Kerr_220_np_10M,AF01:GW230601_224134_Kerr_220_330_np_10M,220_330,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_np_10M/pyRing_GW230601_224134_Kerr_220_np_10M.dat,24648838,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_np_10M/config_GW230601_224134_Kerr_220_np_10M.ini,1097,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_330_np_10M/pyRing_GW230601_224134_Kerr_220_330_np_10M.dat,20945903,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_330_np_10M/config_GW230601_224134_Kerr_220_330_np_10M.ini,1108,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00063,GW230609_064958,AF01,D05,AF01:GW230609_064958_Kerr_220_np_10M,AF01:GW230609_064958_Kerr_221_np_10M,221,pyring/samples/GW230609_064958/GW230609_064958_Kerr_220_np_10M/pyRing_GW230609_064958_Kerr_220_np_10M.dat,15519732,pyring/samples/GW230609_064958/GW230609_064958_Kerr_220_np_10M/config_GW230609_064958_Kerr_220_np_10M.ini,1095,pyring/samples/GW230609_064958/GW230609_064958_Kerr_221_np_10M/pyRing_GW230609_064958_Kerr_221_np_10M.dat,17597638,pyring/samples/GW230609_064958/GW230609_064958_Kerr_221_np_10M/config_GW230609_064958_Kerr_221_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00106,GW230628_231200,AF01,D05,AF01:GW230628_231200_Kerr_220_np_10M,AF01:GW230628_231200_Kerr_221_np_10M,221,pyring/samples/GW230628_231200/GW230628_231200_Kerr_220_np_10M/pyRing_GW230628_231200_Kerr_220_np_10M.dat,12809002,pyring/samples/GW230628_231200/GW230628_231200_Kerr_220_np_10M/config_GW230628_231200_Kerr_220_np_10M.ini,1095,pyring/samples/GW230628_231200/GW230628_231200_Kerr_221_np_10M/pyRing_GW230628_231200_Kerr_221_np_10M.dat,13112219,pyring/samples/GW230628_231200/GW230628_231200_Kerr_221_np_10M/config_GW230628_231200_Kerr_221_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00144,GW230811_032116,AF01,D05,AF01:GW230811_032116_Kerr_220_np_10M,AF01:GW230811_032116_Kerr_221_np_10M,221,pyring/samples/GW230811_032116/GW230811_032116_Kerr_220_np_10M/pyRing_GW230811_032116_Kerr_220_np_10M.dat,14092692,pyring/samples/GW230811_032116/GW230811_032116_Kerr_220_np_10M/config_GW230811_032116_Kerr_220_np_10M.ini,1095,pyring/samples/GW230811_032116/GW230811_032116_Kerr_221_np_10M/pyRing_GW230811_032116_Kerr_221_np_10M.dat,21557721,pyring/samples/GW230811_032116/GW230811_032116_Kerr_221_np_10M/config_GW230811_032116_Kerr_221_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00187,GW230814_061920,AF01,D05,AF01:GW230814_061920_Kerr_220_np_10M,AF01:GW230814_061920_Kerr_220_200_np_10M,220_200,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_np_10M/pyRing_GW230814_061920_Kerr_220_np_10M.dat,10569086,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_np_10M/config_GW230814_061920_Kerr_220_np_10M.ini,1095,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_200_np_10M/pyRing_GW230814_061920_Kerr_220_200_np_10M.dat,14347060,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_200_np_10M/config_GW230814_061920_Kerr_220_200_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00225,GW230824_033047,AF01,D05,AF01:GW230824_033047_Kerr_220_np_10M,AF01:GW230824_033047_Kerr_220_320_np_10M,220_320,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_np_10M/pyRing_GW230824_033047_Kerr_220_np_10M.dat,14048628,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_np_10M/config_GW230824_033047_Kerr_220_np_10M.ini,1097,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_320_np_10M/pyRing_GW230824_033047_Kerr_220_320_np_10M.dat,16327941,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_320_np_10M/config_GW230824_033047_Kerr_220_320_np_10M.ini,1108,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00270,GW230914_111401,AF01,D05,AF01:GW230914_111401_Kerr_220_np_10M,AF01:GW230914_111401_Kerr_220_200_np_10M,220_200,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_np_10M/pyRing_GW230914_111401_Kerr_220_np_10M.dat,12772573,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_np_10M/config_GW230914_111401_Kerr_220_np_10M.ini,1094,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_200_np_10M/pyRing_GW230914_111401_Kerr_220_200_np_10M.dat,16931990,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_200_np_10M/config_GW230914_111401_Kerr_220_200_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00315,GW230922_020344,AF01,D05,AF01:GW230922_020344_Kerr_220_np_10M,AF01:GW230922_020344_Kerr_220_210_np_10M,220_210,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_np_10M/pyRing_GW230922_020344_Kerr_220_np_10M.dat,12285877,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_np_10M/config_GW230922_020344_Kerr_220_np_10M.ini,1093,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_210_np_10M/pyRing_GW230922_020344_Kerr_220_210_np_10M.dat,15030216,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_210_np_10M/config_GW230922_020344_Kerr_220_210_np_10M.ini,1104,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00360,GW230922_040658,AF01,D05,AF01:GW230922_040658_Kerr_220_np_10M,AF01:GW230922_040658_Kerr_221_np_10M,221,pyring/samples/GW230922_040658/GW230922_040658_Kerr_220_np_10M/pyRing_GW230922_040658_Kerr_220_np_10M.dat,9893919,pyring/samples/GW230922_040658/GW230922_040658_Kerr_220_np_10M/config_GW230922_040658_Kerr_220_np_10M.ini,1094,pyring/samples/GW230922_040658/GW230922_040658_Kerr_221_np_10M/pyRing_GW230922_040658_Kerr_221_np_10M.dat,15866218,pyring/samples/GW230922_040658/GW230922_040658_Kerr_221_np_10M/config_GW230922_040658_Kerr_221_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00405,GW230924_124453,AF01,D05,AF01:GW230924_124453_Kerr_220_np_10M,AF01:GW230924_124453_Kerr_221_np_10M,221,pyring/samples/GW230924_124453/GW230924_124453_Kerr_220_np_10M/pyRing_GW230924_124453_Kerr_220_np_10M.dat,12798666,pyring/samples/GW230924_124453/GW230924_124453_Kerr_220_np_10M/config_GW230924_124453_Kerr_220_np_10M.ini,1093,pyring/samples/GW230924_124453/GW230924_124453_Kerr_221_np_10M/pyRing_GW230924_124453_Kerr_221_np_10M.dat,15559800,pyring/samples/GW230924_124453/GW230924_124453_Kerr_221_np_10M/config_GW230924_124453_Kerr_221_np_10M.ini,1104,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00450,GW230927_043729,AF01,D05,AF01:GW230927_043729_Kerr_220_np_10M,AF01:GW230927_043729_Kerr_221_np_10M,221,pyring/samples/GW230927_043729/GW230927_043729_Kerr_220_np_10M/pyRing_GW230927_043729_Kerr_220_np_10M.dat,11796688,pyring/samples/GW230927_043729/GW230927_043729_Kerr_220_np_10M/config_GW230927_043729_Kerr_220_np_10M.ini,1095,pyring/samples/GW230927_043729/GW230927_043729_Kerr_221_np_10M/pyRing_GW230927_043729_Kerr_221_np_10M.dat,14790895,pyring/samples/GW230927_043729/GW230927_043729_Kerr_221_np_10M/config_GW230927_043729_Kerr_221_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00495,GW230927_153832,AF01,D05,AF01:GW230927_153832_Kerr_220_np_10M,AF01:GW230927_153832_Kerr_220_210_np_10M,220_210,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_np_10M/pyRing_GW230927_153832_Kerr_220_np_10M.dat,9776160,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_np_10M/config_GW230927_153832_Kerr_220_np_10M.ini,1094,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_210_np_10M/pyRing_GW230927_153832_Kerr_220_210_np_10M.dat,15024324,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_210_np_10M/config_GW230927_153832_Kerr_220_210_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00540,GW230928_215827,AF01,D05,AF01:GW230928_215827_Kerr_220_np_10M,AF01:GW230928_215827_Kerr_220_320_np_10M,220_320,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_np_10M/pyRing_GW230928_215827_Kerr_220_np_10M.dat,17311987,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_np_10M/config_GW230928_215827_Kerr_220_np_10M.ini,1097,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_320_np_10M/pyRing_GW230928_215827_Kerr_220_320_np_10M.dat,24842909,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_320_np_10M/config_GW230928_215827_Kerr_220_320_np_10M.ini,1108,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00583,GW231001_140220,AF01,D05,AF01:GW231001_140220_Kerr_220_np_10M,AF01:GW231001_140220_Kerr_221_np_10M,221,pyring/samples/GW231001_140220/GW231001_140220_Kerr_220_np_10M/pyRing_GW231001_140220_Kerr_220_np_10M.dat,9822547,pyring/samples/GW231001_140220/GW231001_140220_Kerr_220_np_10M/config_GW231001_140220_Kerr_220_np_10M.ini,1095,pyring/samples/GW231001_140220/GW231001_140220_Kerr_221_np_10M/pyRing_GW231001_140220_Kerr_221_np_10M.dat,13815555,pyring/samples/GW231001_140220/GW231001_140220_Kerr_221_np_10M/config_GW231001_140220_Kerr_221_np_10M.ini,1106,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00621,GW231028_153006,AF01,D05,AF01:GW231028_153006_Kerr_220_np_10M,AF01:GW231028_153006_Kerr_220_200_np_10M,220_200,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_np_10M/pyRing_GW231028_153006_Kerr_220_np_10M.dat,15722714,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_np_10M/config_GW231028_153006_Kerr_220_np_10M.ini,1098,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_200_np_10M/pyRing_GW231028_153006_Kerr_220_200_np_10M.dat,19407956,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_200_np_10M/config_GW231028_153006_Kerr_220_200_np_10M.ini,1109,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00666,GW231102_071736,AF01,D05,AF01:GW231102_071736_Kerr_220_np_10M,AF01:GW231102_071736_Kerr_220_320_np_10M,220_320,pyring/samples/GW231102_071736/GW231102_071736_Kerr_220_np_10M/pyRing_GW231102_071736_Kerr_220_np_10M.dat,10035453,pyring/samples/GW231102_071736/GW231102_071736_Kerr_220_np_10M/config_GW231102_071736_Kerr_220_np_10M.ini,1096,pyring/samples/GW231102_071736/GW231102_071736_Kerr_220_320_np_10M/pyRing_GW231102_071736_Kerr_220_320_np_10M.dat,15998212,pyring/samples/GW231102_071736/GW231102_071736_Kerr_220_320_np_10M/config_GW231102_071736_Kerr_220_320_np_10M.ini,1107,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00711,GW231108_125142,AF01,D05,AF01:GW231108_125142_Kerr_220_np_10M,AF01:GW231108_125142_Kerr_221_np_10M,221,pyring/samples/GW231108_125142/GW231108_125142_Kerr_220_np_10M/pyRing_GW231108_125142_Kerr_220_np_10M.dat,10826988,pyring/samples/GW231108_125142/GW231108_125142_Kerr_220_np_10M/config_GW231108_125142_Kerr_220_np_10M.ini,1092,pyring/samples/GW231108_125142/GW231108_125142_Kerr_221_np_10M/pyRing_GW231108_125142_Kerr_221_np_10M.dat,16033217,pyring/samples/GW231108_125142/GW231108_125142_Kerr_221_np_10M/config_GW231108_125142_Kerr_221_np_10M.ini,1103,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00754,GW231206_233134,AF01,D05,AF01:GW231206_233134_Kerr_220_np_10M,AF01:GW231206_233134_Kerr_220_320_np_10M,220_320,pyring/samples/GW231206_233134/GW231206_233134_Kerr_220_np_10M/pyRing_GW231206_233134_Kerr_220_np_10M.dat,12186876,pyring/samples/GW231206_233134/GW231206_233134_Kerr_220_np_10M/config_GW231206_233134_Kerr_220_np_10M.ini,1094,pyring/samples/GW231206_233134/GW231206_233134_Kerr_220_320_np_10M/pyRing_GW231206_233134_Kerr_220_320_np_10M.dat,15322362,pyring/samples/GW231206_233134/GW231206_233134_Kerr_220_320_np_10M/config_GW231206_233134_Kerr_220_320_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00792,GW231206_233901,AF01,D05,AF01:GW231206_233901_Kerr_220_np_10M,AF01:GW231206_233901_Kerr_221_np_10M,221,pyring/samples/GW231206_233901/GW231206_233901_Kerr_220_np_10M/pyRing_GW231206_233901_Kerr_220_np_10M.dat,9273556,pyring/samples/GW231206_233901/GW231206_233901_Kerr_220_np_10M/config_GW231206_233901_Kerr_220_np_10M.ini,1094,pyring/samples/GW231206_233901/GW231206_233901_Kerr_221_np_10M/pyRing_GW231206_233901_Kerr_221_np_10M.dat,14191883,pyring/samples/GW231206_233901/GW231206_233901_Kerr_221_np_10M/config_GW231206_233901_Kerr_221_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00837,GW231213_111417,AF01,D05,AF01:GW231213_111417_Kerr_220_np_10M,AF01:GW231213_111417_Kerr_221_np_10M,221,pyring/samples/GW231213_111417/GW231213_111417_Kerr_220_np_10M/pyRing_GW231213_111417_Kerr_220_np_10M.dat,10187450,pyring/samples/GW231213_111417/GW231213_111417_Kerr_220_np_10M/config_GW231213_111417_Kerr_220_np_10M.ini,1093,pyring/samples/GW231213_111417/GW231213_111417_Kerr_221_np_10M/pyRing_GW231213_111417_Kerr_221_np_10M.dat,15548782,pyring/samples/GW231213_111417/GW231213_111417_Kerr_221_np_10M/config_GW231213_111417_Kerr_221_np_10M.ini,1104,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00880,GW231223_032836,AF01,D05,AF01:GW231223_032836_Kerr_220_np_10M,AF01:GW231223_032836_Kerr_221_np_10M,221,pyring/samples/GW231223_032836/GW231223_032836_Kerr_220_np_10M/pyRing_GW231223_032836_Kerr_220_np_10M.dat,12400916,pyring/samples/GW231223_032836/GW231223_032836_Kerr_220_np_10M/config_GW231223_032836_Kerr_220_np_10M.ini,1107,pyring/samples/GW231223_032836/GW231223_032836_Kerr_221_np_10M/pyRing_GW231223_032836_Kerr_221_np_10M.dat,14675496,pyring/samples/GW231223_032836/GW231223_032836_Kerr_221_np_10M/config_GW231223_032836_Kerr_221_np_10M.ini,1118,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
PAIR00918,GW231226_101520,AF01,D05,AF01:GW231226_101520_Kerr_220_np_10M,AF01:GW231226_101520_Kerr_220_210_np_10M,220_210,pyring/samples/GW231226_101520/GW231226_101520_Kerr_220_np_10M/pyRing_GW231226_101520_Kerr_220_np_10M.dat,10899833,pyring/samples/GW231226_101520/GW231226_101520_Kerr_220_np_10M/config_GW231226_101520_Kerr_220_np_10M.ini,1094,pyring/samples/GW231226_101520/GW231226_101520_Kerr_220_210_np_10M/pyRing_GW231226_101520_Kerr_220_210_np_10M.dat,14042878,pyring/samples/GW231226_101520/GW231226_101520_Kerr_220_210_np_10M/config_GW231226_101520_Kerr_220_210_np_10M.ini,1105,B_DIRECT_PARTIAL,UNRESOLVED_UNTIL_PHASE6_HEADER_AND_CONFIG_GATE,false
