label,phase,run,version,status,decision,sha256,size_bytes,depth_from_canonical,occurrences_in_recursive_chain,archive_file_count,result_manifest_rows,crc_pass,sidecar_match,example_path
PHASE0_RUN01,0,1,0.1.0,COMPLETE_STOPPED,GO_PHASE1_LINEAGE_AND_SCHEMA_AUDIT,f0af346e5284e93dfe34ed0ed042bcc1fb254f1ea6db426987332ff5f7ec1d46,305536,9,1,65,64,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN01_v0.3.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE2_RUN01_v0.3.0_RESULTS/inputs/GWBHRRIDA_PHASE1_RUN01_v0.2.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE1_RUN01_v0.2.0_RESULTS/inputs/GWBHRRIDA_PHASE0_RUN01_v0.1.0_RESULTS_FOR_REVIEW.zip
PHASE1_RUN01,1,1,0.2.0,COMPLETE_STOPPED,GO_PHASE2_CLAIM_TO_OUTPUT_MAPPING,22870a531eaabdc6bcfb1a7a22b57924ecb31b8b3e820ed4e16ef8e4a009714e,459087,8,1,71,70,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN01_v0.3.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE2_RUN01_v0.3.0_RESULTS/inputs/GWBHRRIDA_PHASE1_RUN01_v0.2.0_RESULTS_FOR_REVIEW.zip
PHASE2_RUN01,2,1,0.3.0,COMPLETE_STOPPED,HOLD_PYRING_LARGE_ARCHIVE_MAPPING_DECISION,b2dfa30f77908f06b77f0b0a373b3e562510c0dfe2890d46a51bce1b167c931f,493949,7,1,54,53,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN01_v0.3.0_RESULTS_FOR_REVIEW.zip
PHASE2_RUN02,2,2,0.3.1,COMPLETE_STOPPED,GO_PHASE3_EVENT_COHORT_AND_COMPARABILITY,e33aa1358c6540bec02959eaed53da6dbca5a2e718c28df1b046bb59ef9d9f82,545554,6,1,41,40,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS/inputs/GWBHRRIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip
PHASE3_RUN01,3,1,0.4.0,COMPLETE_STOPPED,GO_PHASE4_READER_PILOT_AND_SYNTHETIC_NULL_QA,6208d27033f99851d8ce33e9ff124b9796fe8890475a6eaa1a3883cc3d14ec14,625562,5,1,54,53,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip
PHASE3_RUN02,3,2,0.4.1,COMPLETE_STOPPED,GO_PHASE4_READER_PILOT_AND_SYNTHETIC_NULL_QA,8a0266a184da54299de9f1f20aff27aa4a4a4471f8f9026c0a7de908fccfba2f,683069,4,1,49,48,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS/inputs/GWBHRRIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip
PHASE4_RUN01,4,1,0.5.0,COMPLETE_STOPPED,METRIC_READY,d63debec5d7accc0ac0033dbe270929dbda20346461370f983a7cc563ca7c532,738027,3,1,56,55,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS/inputs/GWBHRRIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip
PHASE5_RUN01,5,1,0.6.1,COMPLETE_STOPPED,FROZEN,92fb2da8f9b352bc9de7f8568ceef1f662b0fe068eab4b135b55d50b72200b2a,793752,2,1,54,53,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS/inputs/GWBHRRIDA_PHASE5_RUN01_v0.6.1_RESULTS_FOR_REVIEW.zip
PHASE6_RUN01,6,1,0.7.0,COMPLETE_STOPPED,HOLD_PRIMARY_SCHEMA_UNRESOLVED,89540d28176ef9da01952f7344b799703ee4061c97cef977cc0022c11d83d360,874156,1,1,58,57,True,PARENT_VERIFIED,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip!/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS/inputs/GWBHRRIDA_PHASE6_RUN01_v0.7.0_RESULTS_FOR_REVIEW.zip
PHASE6_RUN02,6,2,0.7.1,COMPLETE_STOPPED,CONFIG_STRUCTURE_CAPTURED,8f59624885d9525719739a8e25b057870790745de5f7c780e3ba55b3297fb2e5,972496,0,1,61,60,True,True,GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip
