pair_id,event_id,non_mode_declaration_multiset_match,excluded_key_canonical,official_config_equality_state,scientific_use
PAIR00018,GW230601_224134,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00063,GW230609_064958,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00106,GW230628_231200,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00144,GW230811_032116,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00187,GW230814_061920,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00225,GW230824_033047,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00270,GW230914_111401,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00315,GW230922_020344,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00360,GW230922_040658,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00405,GW230924_124453,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00450,GW230927_043729,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00495,GW230927_153832,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00540,GW230928_215827,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00583,GW231001_140220,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00621,GW231028_153006,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00666,GW231102_071736,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00711,GW231108_125142,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00754,GW231206_233134,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00792,GW231206_233901,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00837,GW231213_111417,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00880,GW231223_032836,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
PAIR00918,GW231226_101520,true,kerrmodes,NOT_EVALUATED,PROHIBITED_NON_ADJUDICATIVE_CROSSCHECK_ONLY
