artifact_filename,sha256,role,external_adjudication,sidecar_check,zip_crc_check
GWBHDCIDA_PHASE0_RUN01_v0.1.0_RESULTS_FOR_REVIEW.zip,ba73efce8b8213a20cfcae186e4f764630b0dd65a94b14290fe7ce04964965e1,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE0_RUN02_v0.1.1_RESULTS_FOR_REVIEW.zip,010f10c105be1c7654ff504c8ff280dd72b3d28a01425889c690c5b59b796d4f,CANONICAL_PHASE,GO_SUMMARY_ONLY,PASS,PASS
GWBHDCIDA_PHASE1_RUN01_v0.2.0_RESULTS_FOR_REVIEW.zip,93028d18e46d4ff0139d970231ba87bd7bd322914acc107fc14a4a4fb44f5a12,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE1_RUN02_v0.2.1_RESULTS_FOR_REVIEW.zip,8fff0728ac806652ef3972078256236283cf128ce96ef099e5e99187e4fb2233,SUPERSEDED_VALID_HOLD,HOLD_SCHEMA_UNRESOLVED,PASS,PASS
GWBHDCIDA_PHASE1_RUN03_v0.2.2_RESULTS_FOR_REVIEW.zip,b6db61d2b4765c31d889a4010d9cbb4199ee92a3361fa95682090503c3a93a74,CANONICAL_PHASE,SCHEMA_GATE_PASS,PASS,PASS
GWBHDCIDA_PHASE2_RUN01_v0.3.0_RESULTS.zip,bfe24e41c5c71563be2a1c6d44080f785e1de96b4c7547e7623788301b2b4049,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip,ebc4ef1bda15da573339abe6b6115efe19093d6a4b3d4656cc012326d0fe9c5c,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE2_RUN03_v0.3.2_RESULTS_FOR_REVIEW.zip,f4ea865f2baa48e4d227e791a7f43ecf072c578265eef849e0542b05a78a20cc,CANONICAL_PHASE,MAPPING_FREEZE_PASS,PASS,PASS
GWBHDCIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip,63bf51075fc7049bcadfb61c700655e692deb647e4593c84336fa0805a6258c8,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip,8d98bf579e63347228f54c9223ddbfa52311ef7ce43d49a48f3d58715f63d9fe,SUPERSEDED,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE3_RUN03_v0.4.2_RESULTS_FOR_REVIEW.zip,3de4efa7ae3dbe0e553ec26a4a9b135ddfb577c6e4555267047d890fa027e47d,CANONICAL_PHASE,CONFIRMATORY_CONTRACT_FROZEN,PASS,PASS
GWBHDCIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip,e715e98e9a532539e61c601a9219e4e826f4b9604fcba1e804cce9bcc64d8f6b,SUPERSEDED_PARTIAL_READ,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE4_RUN02_v0.5.1_RESULTS_FOR_REVIEW.zip,9e82c20b7159e4bf5e0d5ab6f838d7ce036775570b3fe158ba1f248b32412071,CANONICAL_COMPONENT,CANONICAL_EXTRACTION_COMPONENT,PASS,PASS
GWBHDCIDA_PHASE4_RUN03_v0.5.2_RESULTS_FOR_REVIEW.zip,c49a3bb38500508a37764ae78cab0711cdef0ef00c0f48ec0b23d270fef9c435,CANONICAL_PHASE,EXTRACTION_REVIEW_PASS,PASS,PASS
GWBHDCIDA_PHASE5_RUN01_v0.6.0_RESULTS_FOR_REVIEW.zip,73940df24a7a48c84b3b2e9b1dd7cc08553fbb2556df7210e4615cba19e259d9,CANONICAL_PHASE,PIPELINE_RESULT_BOUNDED_COMPLETE,PASS,PASS
GWBHDCIDA_PHASE6_RUN01_STARTER_PACKAGE_v0.7.0.zip,9ea1f374a1e546237f329e77aecc1ccb95a3edc05facb9ae31c9bbd88f9b0688,EXCEPTIONAL_STARTER_EVIDENCE,HOLD_IMPLEMENTATION_ERROR,PASS,PASS
GWBHDCIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip,4a1edfc165c6b8eee20685331d92ee89145faef09cac4d74e0cea0e169c07b94,CANONICAL_COMPONENT,CANONICAL_SURFACE_COMPONENT,PASS,PASS
GWBHDCIDA_PHASE6_RUN03_v0.7.2_RESULTS_FOR_REVIEW.zip,354ea843a24a3e7b5cb8aa5785d96799e778b6294e3fd267088231a3abd00650,CANONICAL_PHASE,CATALOG_RESULT_BOUNDED_COMPLETE,PASS,PASS
GWBHDCIDA_PHASE7_RUN01_v0.8.0_RESULTS_FOR_REVIEW.zip,f694a92ce2fe5f9a4b345dc42c93057c3758534001bad37d357a2e75603e55d8,CANONICAL_PHASE,ROBUSTNESS_GATE_PASS,PASS,PASS
GWBHDCIDA_PHASE8_RUN01_v0.9.0_RESULTS_FOR_REVIEW.zip,a0ce800eaf178c0f7dfa70456fa17662086292f487ae2dba8ac45679db5eac23,CANONICAL_PHASE,FINAL_CLOSED,PASS,PASS
