release_id,field_name,semantic,unit,missing_semantics,censoring_semantics,evidence
GWTC-4.0,gw_name,candidate identifier,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.0,pipelines,pipelines with FAR below inventory threshold,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.0,pipeline,pipeline supplying combined-table displayed properties,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.0,gps_time,candidate arrival time,GPS seconds,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,far,false alarm rate in combined display table,Hz,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,combined_far,pipeline-table published FAR field (logical FAR alias),UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,superevent_id,GraceDB superevent identifier,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.0,dq_status,public data-quality status,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.0,p_Terrestrial,pipeline-specific terrestrial classification probability,,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,snr_H1,reported H1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,snr_L1,reported L1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.0,snr_V1,reported V1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,gw_name,candidate identifier,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.1,pipelines,pipelines with FAR below inventory threshold,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.1,pipeline,pipeline supplying combined-table displayed properties,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.1,gps_time,candidate arrival time,GPS seconds,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,far,false alarm rate in combined display table,Hz,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,combined_far,pipeline-table published FAR field (logical FAR alias),UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,superevent_id,GraceDB superevent identifier,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.1,dq_status,public data-quality status,,UNRESOLVED_FOR_PHASE2,NOT_APPLICABLE,NOTEBOOK_SOURCE
GWTC-4.1,p_Terrestrial,pipeline-specific terrestrial classification probability,,UNRESOLVED_FOR_PHASE2,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,snr_H1,reported H1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,snr_L1,reported L1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
GWTC-4.1,snr_V1,reported V1 SNR,,NaN means no SNR reported for that interferometer,UNRESOLVED_FOR_PHASE2,NOTEBOOK_SOURCE
