release_id,object_path,object_type,ndim,dtype,compound_fields,compression,attribute_names
GWTC-4.0,/CWB,DATASET,1,"[('gw_name', 'S15'), ('ifos', 'S5'), ('mchirp', '<f8'), ('combined_far', '<f8'), ('snr', '<f8'), ('snr_H1', '<f8'), ('time_H1', '<f8'), ('duration_H1', '<f8'), ('frequency_H1', '<f8'), ('bandwidth_H1', '<f8'), ('snr_L1', '<f8'), ('time_L1', '<f8'), ('duration_L1', '<f8'), ('frequency_L1', '<f8'), ('bandwidth_L1', '<f8'), ('snr_V1', '<f8'), ('time_V1', '<f8'), ('duration_V1', '<f8'), ('frequency_V1', '<f8'), ('bandwidth_V1', '<f8'), ('p_Terrestrial', '<f8'), ('p_BNS', '<f8'), ('p_BBH', '<f8'), ('p_NSBH', '<f8'), ('p_Astro', '<f8')]",gw_name|ifos|mchirp|combined_far|snr|snr_H1|time_H1|duration_H1|frequency_H1|bandwidth_H1|snr_L1|time_L1|duration_L1|frequency_L1|bandwidth_L1|snr_V1|time_V1|duration_V1|frequency_V1|bandwidth_V1|p_Terrestrial|p_BNS|p_BBH|p_NSBH|p_Astro,,
GWTC-4.0,/MBTA,DATASET,1,"[('coinc_event_id', '<i8'), ('ifos', 'S5'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('mass', '<f8'), ('mchirp', '<f8'), ('snr', '<f8'), ('combined_far', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_Terrestrial', '<f8'), ('p_BNS', '<f8'), ('p_BBH', '<f8'), ('p_NSBH', '<f8'), ('p_Astro', '<f8')]",coinc_event_id|ifos|end_time|end_time_ns|mass|mchirp|snr|combined_far|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_Terrestrial|p_BNS|p_BBH|p_NSBH|p_Astro,,tablename
GWTC-4.0,/gstlal,DATASET,1,"[('coinc_event_id', '<i8'), ('combined_far', '<f8'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('ifos', 'S5'), ('mass', '<f8'), ('mchirp', '<f8'), ('minimum_duration', '<f8'), ('snr', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('p_Astro', '<f8')]",coinc_event_id|combined_far|end_time|end_time_ns|ifos|mass|mchirp|minimum_duration|snr|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_BBH|p_BNS|p_NSBH|p_Terrestrial|p_Astro,,tablename
GWTC-4.0,/pycbc,DATASET,1,"[('coinc_event_id', '<i8'), ('combined_far', '<f8'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('ifos', 'S5'), ('mass', '<f8'), ('mchirp', '<f8'), ('minimum_duration', '<f8'), ('snr', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_Astro', '<f8'), ('p_Terrestrial', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_BBH', '<f8')]",coinc_event_id|combined_far|end_time|end_time_ns|ifos|mass|mchirp|minimum_duration|snr|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_Astro|p_Terrestrial|p_BNS|p_NSBH|p_BBH,,tablename
GWTC-4.0,/search_summary,DATASET,1,"[('gps_time', '<f8'), ('mchirp', '<f8'), ('snr', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('far', '<f8'), ('pipeline', 'S6'), ('pipelines', 'S21'), ('instruments', 'S5'), ('gw_name', 'S15'), ('superevent_id', 'S9'), ('trigger_information_file', 'S118'), ('pastro_file', 'S128'), ('skymap_file', 'S115'), ('dq_status', 'S7')]",gps_time|mchirp|snr|p_BBH|p_BNS|p_NSBH|p_Terrestrial|far|pipeline|pipelines|instruments|gw_name|superevent_id|trigger_information_file|pastro_file|skymap_file|dq_status,,
GWTC-4.1,/CWB,DATASET,1,"[('gw_name', 'S15'), ('ifos', 'S5'), ('mchirp', '<f8'), ('combined_far', '<f8'), ('snr', '<f8'), ('snr_H1', '<f8'), ('time_H1', '<f8'), ('duration_H1', '<f8'), ('frequency_H1', '<f8'), ('bandwidth_H1', '<f8'), ('snr_L1', '<f8'), ('time_L1', '<f8'), ('duration_L1', '<f8'), ('frequency_L1', '<f8'), ('bandwidth_L1', '<f8'), ('snr_V1', '<f8'), ('time_V1', '<f8'), ('duration_V1', '<f8'), ('frequency_V1', '<f8'), ('bandwidth_V1', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('p_Astro', '<f8')]",gw_name|ifos|mchirp|combined_far|snr|snr_H1|time_H1|duration_H1|frequency_H1|bandwidth_H1|snr_L1|time_L1|duration_L1|frequency_L1|bandwidth_L1|snr_V1|time_V1|duration_V1|frequency_V1|bandwidth_V1|p_BBH|p_BNS|p_NSBH|p_Terrestrial|p_Astro,,
GWTC-4.1,/MBTA,DATASET,1,"[('coinc_event_id', '<i8'), ('ifos', 'S5'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('mass', '<f8'), ('mchirp', '<f8'), ('snr', '<f8'), ('combined_far', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('p_Astro', '<f8')]",coinc_event_id|ifos|end_time|end_time_ns|mass|mchirp|snr|combined_far|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_BBH|p_BNS|p_NSBH|p_Terrestrial|p_Astro,,tablename
GWTC-4.1,/gstlal,DATASET,1,"[('coinc_event_id', '<i8'), ('combined_far', '<f8'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('ifos', 'S5'), ('mass', '<f8'), ('mchirp', '<f8'), ('minimum_duration', '<f8'), ('snr', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('p_Astro', '<f8')]",coinc_event_id|combined_far|end_time|end_time_ns|ifos|mass|mchirp|minimum_duration|snr|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_BBH|p_BNS|p_NSBH|p_Terrestrial|p_Astro,,tablename
GWTC-4.1,/pycbc,DATASET,1,"[('coinc_event_id', '<i8'), ('combined_far', '<f8'), ('end_time', '<i4'), ('end_time_ns', '<i4'), ('ifos', 'S5'), ('mass', '<f8'), ('mchirp', '<f8'), ('minimum_duration', '<f8'), ('snr', '<f8'), ('mass1', '<f4'), ('mass2', '<f4'), ('spin1z', '<f4'), ('spin2z', '<f4'), ('gw_name', 'S15'), ('snr_H1', '<f8'), ('snr_L1', '<f8'), ('snr_V1', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('p_Astro', '<f8')]",coinc_event_id|combined_far|end_time|end_time_ns|ifos|mass|mchirp|minimum_duration|snr|mass1|mass2|spin1z|spin2z|gw_name|snr_H1|snr_L1|snr_V1|p_BBH|p_BNS|p_NSBH|p_Terrestrial|p_Astro,,tablename
GWTC-4.1,/search_summary,DATASET,1,"[('gps_time', '<f8'), ('mchirp', '<f8'), ('snr', '<f8'), ('p_BBH', '<f8'), ('p_BNS', '<f8'), ('p_NSBH', '<f8'), ('p_Terrestrial', '<f8'), ('far', '<f8'), ('pipeline', 'S6'), ('pipelines', 'S21'), ('instruments', 'S5'), ('gw_name', 'S15'), ('superevent_id', 'S9'), ('trigger_information_file', 'S116'), ('pastro_file', 'S126'), ('skymap_file', 'S113'), ('dq_status', 'S7')]",gps_time|mchirp|snr|p_BBH|p_BNS|p_NSBH|p_Terrestrial|far|pipeline|pipelines|instruments|gw_name|superevent_id|trigger_information_file|pastro_file|skymap_file|dq_status,,
