candidate_key,detector,final_dependency_class,robustness_classification_stability,gating_presence_robustness,public_layer_attribution_grade,production_search_attribution_grade,confirmatory_materiality_enabled,protocol_deviation_label
GWTC-4.0:S230817ax,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S231007az,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S231007az,L1,CALIBRATION_LIMITED,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S231019cu,H1,CALIBRATION_LIMITED,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S231124ch,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S231126ct,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S240114f,H1,CALIBRATION_LIMITED,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.0:S240114f,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S230530p,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S230530p,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S230917bz,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S230917bz,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S231113cp,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
GWTC-4.1:S231113cp,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
