sequence,allocation_order,candidate_key,detector,channel,request_start_gps,request_end_gps,window_start_gps,window_end_gps,status,sample_rate_hz,dtype,sample_count,expected_sample_count,first_sample_gps,last_sample_exclusive_gps,payload_path,payload_sha256,transport,error_type,error_message
1,1,PAIR:S231025ap,H1,H1:GDS-CALIB_STRAIN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/H1/GDS-CALIB_STRAIN_AR.npy,ac9977e54907928729aba74ecf587892a62e88ac050684ae5d4d402f286dd78d,nds2.connection.iterate,,
2,1,PAIR:S231025ap,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,ff845f966227925ea421429e9ebd7107db86cf5b321f6852bd90472a4fee1ec7,nds2.connection.iterate,,
3,1,PAIR:S231025ap,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,ff845f966227925ea421429e9ebd7107db86cf5b321f6852bd90472a4fee1ec7,nds2.connection.iterate,,
4,1,PAIR:S231025ap,H1,H1:GDS-GATED_STRAIN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/H1/GDS-GATED_STRAIN_AR.npy,3a957de899dd1b4bf17c4c2ae3846451736b915fad074fda682465bb8e7df5b8,nds2.connection.iterate,,
5,1,PAIR:S231025ap,L1,L1:GDS-CALIB_STRAIN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/L1/GDS-CALIB_STRAIN_AR.npy,08002766b294f67041fd24bbfe35b5a79fe4c775282aa961d1d91313a478176c,nds2.connection.iterate,,
6,1,PAIR:S231025ap,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,ee2495081508a806e2623b296da4c38d0bf9f2d6a2442331871f03bc8d462c1a,nds2.connection.iterate,,
7,1,PAIR:S231025ap,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,ee2495081508a806e2623b296da4c38d0bf9f2d6a2442331871f03bc8d462c1a,nds2.connection.iterate,,
8,1,PAIR:S231025ap,L1,L1:GDS-GATED_STRAIN_AR,1382278996,1382279013,1382278996.1413393,1382279012.1413393,SUCCESS,16384,float64,262144,262144,1382278996.1413574,1382279012.1413574,work/strain_payload/PAIR_S231025ap/L1/GDS-GATED_STRAIN_AR.npy,82e8c6a8f2b12ee3da6f2fe76e6891283826a4319de1155512c238136ffa3c84,nds2.connection.iterate,,
9,2,PAIR:S230606z,H1,H1:GDS-CALIB_STRAIN_AR,1370069610,1370069627,1370069610.1105216,1370069626.1105216,SUCCESS,16384,float64,262144,262144,1370069610.1105347,1370069626.1105347,work/strain_payload/PAIR_S230606z/H1/GDS-CALIB_STRAIN_AR.npy,63c98fec09686877179a1bef7a46934b3c0d0180b6e3d50e46c23a6658d158a8,nds2.connection.iterate,,
10,2,PAIR:S230606z,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1370069610,1370069627,1370069610.1105216,1370069626.1105216,SUCCESS,16384,float64,262144,262144,1370069610.1105347,1370069626.1105347,work/strain_payload/PAIR_S230606z/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,3342deb0c7cfd85720536843d4c40afe7cf2a2ef4781deba352aa88ae7d27df8,nds2.connection.iterate,,
