request_index,allocation_order,candidate_key,detector,request_start_gps,request_end_gps,channels,status,buffer_batches,error_type,error_message
1,1,PAIR:S231025ap,H1,1382278996,1382279013,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
2,1,PAIR:S231025ap,L1,1382278996,1382279013,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
3,2,PAIR:S230606z,H1,1370069610,1370069627,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
4,2,PAIR:S230606z,L1,1370069610,1370069627,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
5,3,PAIR:S231127ag,H1,1385100956,1385100973,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
6,3,PAIR:S231127ag,L1,1385100956,1385100973,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
7,4,PAIR:S230902af,H1,1377702215,1377702232,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
8,4,PAIR:S230902af,L1,1377702215,1377702232,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
9,5,PAIR:S230630bu,H1,1372144029,1372144046,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
10,5,PAIR:S230630bu,L1,1372144029,1372144046,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
11,6,PAIR:S230709ac,H1,1372919695,1372919712,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
12,6,PAIR:S230709ac,L1,1372919695,1372919712,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
13,7,PAIR:S231221ax,H1,1387201851,1387201868,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
14,7,PAIR:S231221ax,L1,1387201851,1387201868,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
15,8,PAIR:S231206c,H1,1385859999,1385860016,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
16,8,PAIR:S231206c,L1,1385859999,1385860016,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
17,9,PAIR:S230720aq,H1,1373885108,1373885125,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
18,9,PAIR:S230720aq,L1,1373885108,1373885125,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
19,10,GWTC-4.0:S231019cu,H1,1381711462,1381711479,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
20,11,PAIR:S230830ba,L1,1377403146,1377403163,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
21,12,GWTC-4.0:S240114f,H1,1389269571,1389269588,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
22,12,GWTC-4.0:S240114f,L1,1389269571,1389269588,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
23,13,GWTC-4.0:S231126ct,L1,1385012717,1385012734,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
24,14,GWTC-4.0:S231007az,H1,1380748511,1380748528,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
25,14,GWTC-4.0:S231007az,L1,1380748511,1380748528,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
26,15,GWTC-4.0:S230817ax,L1,1376294530,1376294547,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
27,16,GWTC-4.0:S231124ch,L1,1384827792,1384827809,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
28,17,GWTC-4.1:S230917bz,H1,1378997680,1378997697,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
