id,axis,context,a,b,confound,status,delta_median,width68_ratio,normalized_w1,central68_overlap
R01,PIPELINE,BPL3P_SPECTRAL_235CBC,gwcosmo_bpl3p_spectral.json,icarogw_bpl3p_spectral.json,NONE,PASS,1.8477921390078933,1.0163215746372405,0.0986538590817223,0.9372618559884525
R02,PIPELINE,MLTP_SPECTRAL_231BBH,gwcosmo_mltp_spectral.json,icarogw_mltp_spectral.json,NONE,PASS,5.435525326380244,0.9985821329904704,0.21183996891641937,0.8482563085395741
R03,ROUTE_SPECTRAL_TO_DES_LUM,BPL3P_235CBC,gwcosmo_bpl3p_spectral.json,gwcosmo_bpl3p_des_lum.json,NONE,PASS,-2.1492385548017836,0.8709360521243306,0.1332197526184908,0.9813023614019607
R04,ROUTE_SPECTRAL_TO_GLADE_LUM,BPL3P_235CBC,gwcosmo_bpl3p_spectral.json,gwcosmo_bpl3p_glade_lum.json,ROUTE_PLUS_CATALOG,PASS,1.4078397512508332,0.8991644444216706,0.08211342306543228,1.0
R05,CATALOG_DES_TO_GLADE_LUM,BPL3P_235CBC,gwcosmo_bpl3p_des_lum.json,gwcosmo_bpl3p_glade_lum.json,NONE,PASS,3.5570783060526168,1.0324115556228122,0.21342708969971588,0.8796459008199191
R06,WEIGHTING_DES,BPL3P_235CBC,gwcosmo_bpl3p_des_lum.json,gwcosmo_bpl3p_des_uni.json,NONE,PASS,1.7029182746550333,1.016029465528792,0.11699439901204724,0.9312871516278288
R07,WEIGHTING_GLADE,BPL3P_235CBC,gwcosmo_bpl3p_glade_lum.json,gwcosmo_bpl3p_glade_uni.json,NONE,PASS,-1.3594360662938811,1.08169383659663,0.07555299548042584,1.0
R08,ROUTE_SPECTRAL_TO_DES_LUM,MLTP_231BBH,gwcosmo_mltp_spectral.json,gwcosmo_mltp_des_lum.json,NONE,PASS,1.1895879121406523,0.9424657981363511,0.052876685892987475,0.9972747983905578
R09,ROUTE_SPECTRAL_TO_GLADE_LUM,MLTP_231BBH,gwcosmo_mltp_spectral.json,gwcosmo_mltp_glade_lum.json,ROUTE_PLUS_CATALOG,PASS,2.9035856000943596,1.0123896041736418,0.11180031933453156,0.9239237470099835
R10,CATALOG_DES_TO_GLADE_LUM,MLTP_231BBH,gwcosmo_mltp_des_lum.json,gwcosmo_mltp_glade_lum.json,NONE,PASS,1.7139976879537073,1.0741924069558377,0.07553342379955497,0.9830512238767405
R11,WEIGHTING_DES,MLTP_231BBH,gwcosmo_mltp_des_lum.json,gwcosmo_mltp_des_uni.json,NONE,PASS,0.9900332650496608,1.1099510227003384,0.06322913987751955,1.0
R12,WEIGHTING_GLADE,MLTP_231BBH,gwcosmo_mltp_glade_lum.json,gwcosmo_mltp_glade_uni.json,NONE,PASS,-3.297162345883251,0.9725325579469074,0.11216846810831331,0.9429906331201626
R13,POPULATION_MODEL,DES_LUM_235CBC,gwcosmo_fullpop_des_lum.json,gwcosmo_bpl3p_des_lum.json,NONE_SAME_235CBC_FRAME,PASS,2.9926241798323616,0.9102078359016774,0.1931498037387174,0.9138003699740138
R14,POPULATION_MODEL,GLADE_LUM_235CBC,gwcosmo_fullpop_glade_lum.json,gwcosmo_bpl3p_glade_lum.json,NONE_SAME_235CBC_FRAME,PASS,2.3065821362988004,0.9090675855767547,0.1348012552649041,0.9604459548829547
R15,POPULATION_PLUS_FRAME,DES_LUM,gwcosmo_fullpop_des_lum.json,gwcosmo_mltp_des_lum.json,235CBC_VS_231BBH,PASS,2.057104269680096,1.3481309472507665,0.19846117455879755,1.0
R16,POPULATION_PLUS_FRAME,GLADE_LUM,gwcosmo_fullpop_glade_lum.json,gwcosmo_mltp_glade_lum.json,235CBC_VS_231BBH,PASS,-0.4720183919523748,1.4009315052156233,0.1945623950709698,1.0
R17,IFAR_ROBUSTNESS_DES_UNIFORM,FULLPOP_235CBC,gwcosmo_fullpop_des_uni.json,gwcosmo_ifar1_fullpop_des_uni.json,PUBLISHED_VALIDATION_SELECTION_THRESHOLD,PASS,-8.515215724169778,0.8959241654470934,0.5561500941520315,0.6526218462273855
