filename,size_bytes,upstream_checksum,content_url,extension,classification,content_downloaded,content_read
com_volume_data_4table_allevents.json,13022,md5:517e486d9cfb207ed82e31bd78da795e,https://zenodo.org/api/records/20378418/files/com_volume_data_4table_allevents.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
figure_maker_O4b.ipynb,125729,md5:71755552fb2777059d4223874663405e,https://zenodo.org/api/records/20378418/files/figure_maker_O4b.ipynb/content,.ipynb,NOTEBOOK,FALSE,FALSE
gwcosmo_fullpop_glade_lum.json,37656342,md5:2c402a78ea309555be2ee6f7be5c71eb,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_glade_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
galaxy_count_and_prob.ipynb,16066,md5:c5e4c24720a77019a6609d8b0ebe8c12,https://zenodo.org/api/records/20378418/files/galaxy_count_and_prob.ipynb/content,.ipynb,NOTEBOOK,FALSE,FALSE
H0_spectral_combined_gw170817.json,66193,md5:bb97ed08bb3bb9513a5df3c2b4369cf5,https://zenodo.org/api/records/20378418/files/H0_spectral_combined_gw170817.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_glade_uni.json,36269228,md5:342fe4220e89d5a065c8555381ceb4db,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_glade_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_fullpop_spectral_cm_wide.json,38979463,md5:91a6271ae03770f3616baf79719cf0c2,https://zenodo.org/api/records/20378418/files/icarogw_fullpop_spectral_cm_wide.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
data_cumulative_skyloc_O4b.py,2801,md5:109a71b8113caa024c8c53be8ccba624,https://zenodo.org/api/records/20378418/files/data_cumulative_skyloc_O4b.py/content,.py,SCRIPT,FALSE,FALSE
gw_catalog_data_4table_allevents.json,126611,md5:44666d671f06cb6a91808e868f72b0a4,https://zenodo.org/api/records/20378418/files/gw_catalog_data_4table_allevents.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
GWTC5_235_CBC_NO_GW170817_IFAR4-Stable_Release-6.json,163120,md5:f15c06cd86d1d0018c69daec05e91e0e,https://zenodo.org/api/records/20378418/files/GWTC5_235_CBC_NO_GW170817_IFAR4-Stable_Release-6.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
localization_volume.ipynb,6146,md5:ea6893eab74e697b72ab79a53b054bbf,https://zenodo.org/api/records/20378418/files/localization_volume.ipynb/content,.ipynb,NOTEBOOK,FALSE,FALSE
stdcandles.py,372,md5:fd6cfd394216e8bcbedd621649b0c72f,https://zenodo.org/api/records/20378418/files/stdcandles.py/content,.py,SCRIPT,FALSE,FALSE
O4b_BigTable.ipynb,12664,md5:2aa5f736046404b81e6a14a3f560da23,https://zenodo.org/api/records/20378418/files/O4b_BigTable.ipynb/content,.ipynb,NOTEBOOK,FALSE,FALSE
create_my_dict_for_paper_table.ipynb,9479,md5:f0a370e72432cb7088d4bac0c7d4d4f2,https://zenodo.org/api/records/20378418/files/create_my_dict_for_paper_table.ipynb/content,.ipynb,NOTEBOOK,FALSE,FALSE
