event,zenodo_record,official_filename,size_bytes,official_md5,content_url,model_triad,common5_summary_triplets_unmasked,under_250MB_cap,posterior_schema_verified,posterior_values_accessed
GW240414_054515,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240414_054515-combined_PEDataRelease.hdf5,235225876,8e1ff0d50c3cbcd39a5921be0e863815,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240414_054515-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240420_175625,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240420_175625-combined_PEDataRelease.hdf5,106658828,7be786533108704196e1ee7026dc2609,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240420_175625-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,True,False
GW240426_031451,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240426_031451-combined_PEDataRelease.hdf5,166318756,48b990dd71967e4a4fee450ad3abfa8c,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240426_031451-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240505_133552,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240505_133552-combined_PEDataRelease.hdf5,202688308,0330d1aa57f9bde9dbea622da5b8e0ab,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240505_133552-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240515_005301,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240515_005301-combined_PEDataRelease.hdf5,247660180,61b15abe35ad71a0e2b1d30341401c68,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240515_005301-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240618_071627,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240618_071627-combined_PEDataRelease.hdf5,148338260,2ef71b169a6d2481942816360366c734,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240618_071627-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240621_214041,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240621_214041-combined_PEDataRelease.hdf5,206180996,a1d76263f4994e9ebfd5d9b23ca97613,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240621_214041-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240703_191355,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240703_191355-combined_PEDataRelease.hdf5,213705244,b3c2c89e70d7be9975a775a86920d3f8,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240703_191355-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240716_034900,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240716_034900-combined_PEDataRelease.hdf5,186770164,ba62bbb2da44a6abfd0219176d513495,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240716_034900-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
GW240924_000316,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240924_000316-combined_PEDataRelease.hdf5,222234420,8fd87df7db991dd31fcac218eef03afe,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240924_000316-combined_PEDataRelease.hdf5/content,IMRPhenomXPHM-SpinTaylor|IMRPhenomXPNR|NRSur7dq4,True,True,False,False
