event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW240414_054515,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,14167,13285,0.327741805182075,2.4314722979970256,0.13479150284873034,5.551115123125783e-17,724558189,4000,0.10967043419066844,0.1365119327781631,0.16097294824500827
GW240414_054515,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,14167,13285,0.04365151016880547,0.16264368910254223,0.2683873589542379,6.938893903907228e-18,689117360,4000,0.23672496479799246,0.2712031298382641,0.29538913340197187
GW240414_054515,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,14167,13285,20.56728209734947,524.9512456272906,0.03917941383827481,3.552713678800501e-15,965564031,4000,0.019968897926632978,0.039119833599246215,0.058063470589837574
GW240414_054515,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,14167,13285,0.32430674439452023,5.437821189577988,0.05963909681621742,0.0,895821982,4000,0.03992621702045117,0.06037832581501858,0.0799169340123635
GW240414_054515,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,14167,13285,0.022018394027634607,0.08093761677474626,0.27204154143694376,3.469446951953614e-18,741618991,4000,0.24683577066242698,0.2765551830444673,0.30307762559000195
GW240414_054515,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,14167,15153,0.15125822153227794,2.4331904603099197,0.06216456294712413,0.0,87079737,4000,0.048322441312657775,0.06561671586099581,0.08412020894765111
GW240414_054515,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,14167,15153,0.022719928084093052,0.1592337755301231,0.1426828448201619,0.0,632286533,4000,0.1178549683012343,0.1382479024931561,0.16346868147657018
GW240414_054515,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,14167,15153,7.097331772159575,521.9440344491078,0.013597878898358404,8.881784197001252e-16,371352979,4000,0.013148829130999717,0.02116811669823141,0.042280856588197836
GW240414_054515,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,14167,15153,0.5460986869998505,5.380062140500861,0.10150415975474421,0.0,964623044,4000,0.06917449662810084,0.10398346312058145,0.12877719791515774
GW240414_054515,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,14167,15153,0.014956228376283576,0.07854379713238119,0.19041896269766137,0.0,267412238,4000,0.16893176534277451,0.19087107627543057,0.21566439417370453
GW240414_054515,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,13285,15153,0.20328751415726148,2.41347728942387,0.08423013344608227,0.0,964885421,4000,0.061113495001308,0.083756309230689,0.10881616959031844
GW240414_054515,IMRPhenomXPNR,NRSur7dq4,chi_eff,13285,15153,0.02098056665278814,0.15532421384240194,0.1350759558588582,3.469446951953614e-18,931174023,4000,0.10782290027330103,0.13523060634748046,0.16084958686097728
GW240414_054515,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,13285,15153,27.185794855211473,519.1262507909339,0.05236836860742749,3.552713678800501e-15,871996153,4000,0.0362272978294695,0.05486244451643346,0.07479720676350544
GW240414_054515,IMRPhenomXPNR,NRSur7dq4,final_mass_source,13285,15153,0.2388555272090219,5.401405805952713,0.044220992791503835,2.7755575615628914e-17,340569729,4000,0.028844331706527674,0.04837672111934919,0.07092751290005343
GW240414_054515,IMRPhenomXPNR,NRSur7dq4,final_spin,13285,15153,0.007324872141447508,0.07549304968771886,0.09702710609449801,8.673617379884035e-19,320104251,4000,0.0759989521235611,0.09534872965076305,0.11734888027024615
GW240420_175625,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,11908,14107,0.05444355360897891,3.510609113209707,0.015508292678931102,0.0,1011384962,4000,0.012214885734328104,0.021464430444012417,0.035797768499179386
GW240420_175625,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,11908,14107,0.026393445510443966,0.17849829643116083,0.14786385101788796,6.938893903907228e-18,873832781,4000,0.12826841755609752,0.14918811344940697,0.17828640826920555
GW240420_175625,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,11908,14107,23.548434968772202,1110.8932987429043,0.021197746890200705,3.552713678800501e-15,849697051,4000,0.014443680547898855,0.025681341221742683,0.04714074107730731
GW240420_175625,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,11908,14107,0.04430592258758525,7.482205620590264,0.00592150561402107,0.0,193550715,4000,0.011263395150951726,0.01670878799964698,0.02818431538641926
GW240420_175625,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,11908,14107,0.007939656517015163,0.07583824009797224,0.10469199320498807,0.0,141258688,4000,0.08131817277493424,0.10719421820819575,0.13301927516364093
GW240420_175625,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,11908,12184,0.08843572327582883,3.5293363414465837,0.025057323734575355,0.0,649433879,4000,0.017138182419870637,0.02909124458894971,0.04616093758709299
GW240420_175625,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,11908,12184,0.011083005407693015,0.17515003385775785,0.06327720962185883,0.0,876284145,4000,0.0447840645860991,0.064870342270444,0.08151688992786921
GW240420_175625,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,11908,12184,36.773701666444715,1110.4793287169564,0.03311516091788301,0.0,271057307,4000,0.024599680581733993,0.03842689450276032,0.0561116968237983
GW240420_175625,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,11908,12184,0.1802542691145184,7.488722960306465,0.024070094470037887,0.0,256764657,4000,0.013769829843915412,0.025493393567422088,0.04521897835704975
GW240420_175625,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,11908,12184,0.010578902830030839,0.07309966313169891,0.14471889988017478,1.734723475976807e-18,521766773,4000,0.12170933926793112,0.14338046644394964,0.16607932465376668
GW240420_175625,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,14107,12184,0.12063099916303818,3.492265120039395,0.03454233714125272,1.3877787807814457e-17,873906483,4000,0.018729529542362004,0.03827386384000854,0.054317980977813235
GW240420_175625,IMRPhenomXPNR,NRSur7dq4,chi_eff,14107,12184,0.01709441074879357,0.17451383375262197,0.09795447375836895,3.469446951953614e-18,924116977,4000,0.07918560324908475,0.09818018731061887,0.12465845183763972
GW240420_175625,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,14107,12184,21.50074354608887,1107.0554733432466,0.019421559320020168,0.0,458580218,4000,0.013378160835759845,0.0253481521128862,0.03971339983269598
GW240420_175625,IMRPhenomXPNR,NRSur7dq4,final_mass_source,14107,12184,0.2106066373815032,7.509901088463113,0.028043863015059154,5.551115123125783e-17,532663068,4000,0.014667728964681727,0.031165515140066012,0.048170113326994134
GW240420_175625,IMRPhenomXPNR,NRSur7dq4,final_spin,14107,12184,0.004331165371796696,0.07266667597461474,0.059603185555229456,8.673617379884035e-19,537592496,4000,0.04328518823915415,0.062281853025917905,0.07951616285142553
GW240426_031451,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,14745,14249,0.30522847177538714,5.985735140712947,0.050992645782023706,5.551115123125783e-17,466055215,4000,0.02899983838398065,0.0501004626898225,0.07176803745130671
GW240426_031451,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,14745,14249,0.02977327998175123,0.20313727716972116,0.14656728886286913,6.938893903907228e-18,1008893786,4000,0.1276745169015248,0.15101605640747687,0.1759459247857911
GW240426_031451,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,14745,14249,93.05437263735746,1913.961496817508,0.048618727593050415,0.0,581286770,4000,0.023461065598656777,0.04987967779379991,0.06711917658449328
GW240426_031451,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,14745,14249,0.37868179723657563,12.46773191222529,0.030372949940097566,5.551115123125783e-17,200023045,4000,0.01815624855198408,0.03429201585341746,0.04750783937646854
GW240426_031451,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,14745,14249,0.011601777546996164,0.08102405247394678,0.1431893023460744,0.0,773952357,4000,0.12558863588067387,0.14478431138839506,0.16761070917489934
GW240426_031451,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,14745,14213,0.15090357651608055,5.895751247489233,0.02559530926280928,2.7755575615628914e-17,421923560,4000,0.017354324279575097,0.02898427859922571,0.0448016569035606
GW240426_031451,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,14745,14213,0.004664783909887731,0.20225922309738964,0.02306339280083952,0.0,182302171,4000,0.020345870593477002,0.028270578553415873,0.050276617698119454
GW240426_031451,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,14745,14213,20.143034474577654,1929.3259751914354,0.01044045160516692,0.0,749315119,4000,0.011881271985811927,0.019203831136191833,0.03309915410720677
GW240426_031451,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,14745,14213,0.6047878761569022,12.270339551347831,0.04928860147887835,1.1102230246251565e-16,265416184,4000,0.03213040114376818,0.05081405303280535,0.06638691616052919
GW240426_031451,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,14745,14213,0.009219357919654413,0.08078689705548303,0.11411947055377951,0.0,968413042,4000,0.09604488758518005,0.11607383615835595,0.14370830928497402
GW240426_031451,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,14249,14213,0.4172236389902081,5.858463912897204,0.071217241446466,5.551115123125783e-17,263874917,4000,0.05149421740977049,0.07306542619443687,0.09131335274899208
GW240426_031451,IMRPhenomXPNR,NRSur7dq4,chi_eff,14249,14213,0.025251637793354993,0.20039750864325576,0.12600774313171492,0.0,997062836,4000,0.09689056176116465,0.12527161654780655,0.15245407386104035
GW240426_031451,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,14249,14213,104.56769780713437,1933.4480732022453,0.054083530484449804,1.4210854715202004e-14,594818377,4000,0.026987087642153094,0.05471724749978246,0.07705546542624321
GW240426_031451,IMRPhenomXPNR,NRSur7dq4,final_mass_source,14249,14213,0.9212135925891296,12.426307997326944,0.07413413483613107,0.0,408690881,4000,0.054888357667620076,0.07089132295255737,0.09743860486079714
GW240426_031451,IMRPhenomXPNR,NRSur7dq4,final_spin,14249,14213,0.002876173614496279,0.07731847150408672,0.037199049057045276,0.0,349095992,4000,0.026055082733502488,0.041272137380394494,0.06073376426038787
GW240505_133552,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,13399,15213,0.08115153671277248,3.4858769121778685,0.023280092429331215,1.3877787807814457e-17,767350357,4000,0.01808420359836904,0.02774408432126017,0.04220381128784361
GW240505_133552,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,13399,15213,0.02631622581287695,0.2333783004098318,0.11276209384790041,3.469446951953614e-18,643825637,4000,0.09197805750525159,0.11249200975748495,0.13825219936465089
