event,predictor,full_response,balanced_response,full_cell_count,predictor_rank,full_response_rank,rank_difference
GW240414_054515,0.09885868194075398,0.09702710609449801,0.0950910947239718,15,17.0,21.0,4.0
GW240420_175625,0.03411754546299809,0.03311516091788301,0.04022520156819603,15,3.0,4.0,1.0
GW240426_031451,0.06234044630247003,0.050992645782023706,0.055081129408345905,15,9.0,7.0,-2.0
GW240505_133552,0.024168698499380303,0.024708596651471588,0.034829181207907706,15,1.0,1.0,0.0
GW240515_005301,0.07069471503943019,0.0590477593796351,0.06679389807504767,15,10.0,11.0,1.0
GW240618_071627,0.05322149010653287,0.04146293509576118,0.04474592587017792,15,6.0,5.0,-1.0
GW240621_214041,0.056862991407804354,0.05722650921883483,0.05653597704143806,15,7.0,9.0,2.0
GW240703_191355,0.03589147962944739,0.03073805325263315,0.039079397320504895,15,4.0,2.0,-2.0
GW240716_034900,0.09168362983164884,0.09049663297380643,0.08898862872163293,15,15.0,19.0,4.0
GW240924_000316,0.17246237889433702,0.09458336166764636,0.09947671524688674,15,22.0,20.0,-2.0
GW241002_030559,0.11220084532189503,0.07735011353328938,0.0850590818527443,15,19.0,15.0,-4.0
GW241009_022835,0.07935582280398067,0.06719103225173523,0.06292449151900427,15,14.0,14.0,0.0
GW241101_220523,0.04990744675399242,0.04827519747324014,0.047932623936355334,15,5.0,6.0,1.0
GW241109_033317,0.07869826962900116,0.06433654216732991,0.06348968163925457,15,13.0,13.0,0.0
GW241125_010116,0.11579403152645874,0.08502648584691773,0.08819941404276892,15,20.0,18.0,-2.0
GW241210_120900,0.059598219515624475,0.05484545692888176,0.05359833983210498,15,8.0,8.0,0.0
GW241229_155844,0.028127764961844774,0.03227660896828149,0.03447598226655459,15,2.0,3.0,1.0
GW241230_084504,0.10238257464254058,0.057300212036614645,0.05846223191661626,15,18.0,10.0,-8.0
GW250104_015122,0.14616170366269365,0.10047556592572497,0.10103914722456078,15,21.0,22.0,1.0
GW250109_074552,0.0726814164796333,0.08401425900395493,0.07924695841752748,15,11.0,17.0,6.0
GW250118_023225,0.07519356624695644,0.06041478635416318,0.06321283756360326,15,12.0,12.0,0.0
GW250118_170523,0.09588448763015091,0.07842507394356336,0.08840092930524895,15,16.0,16.0,0.0
