event,predictor,parameter_maximum_S90_json
GW240414_054515,0.09885868194075398,"{""chi_eff"": 0.1751575679911874, ""chirp_mass_source"": 0.09885868194075398, ""final_mass_source"": 0.05589960487598824, ""final_spin"": 0.17057895112095828, ""luminosity_distance"": 0.04148805469716252}"
GW240420_175625,0.03411754546299809,"{""chi_eff"": 0.10658474272946294, ""chirp_mass_source"": 0.029977958351554906, ""final_mass_source"": 0.016208986646964938, ""final_spin"": 0.10273736768555741, ""luminosity_distance"": 0.03411754546299809}"
GW240426_031451,0.06234044630247003,"{""chi_eff"": 0.10929027711624488, ""chirp_mass_source"": 0.057629531283402265, ""final_mass_source"": 0.06234044630247003, ""final_spin"": 0.09289438078792624, ""luminosity_distance"": 0.0454372371089055}"
GW240505_133552,0.024168698499380303,"{""chi_eff"": 0.08532369931173753, ""chirp_mass_source"": 0.024168698499380303, ""final_mass_source"": 0.01966598361268022, ""final_spin"": 0.08433228641340042, ""luminosity_distance"": 0.013748302240934604}"
GW240515_005301,0.07069471503943019,"{""chi_eff"": 0.20243313906996566, ""chirp_mass_source"": 0.04146935939625664, ""final_mass_source"": 0.04245872598639499, ""final_spin"": 0.18976140519945175, ""luminosity_distance"": 0.07069471503943019}"
GW240618_071627,0.05322149010653287,"{""chi_eff"": 0.07626665873462975, ""chirp_mass_source"": 0.026321139890623867, ""final_mass_source"": 0.05322149010653287, ""final_spin"": 0.10226285415092304, ""luminosity_distance"": 0.0473470441064465}"
GW240621_214041,0.056862991407804354,"{""chi_eff"": 0.11917744763588498, ""chirp_mass_source"": 0.04532192995701576, ""final_mass_source"": 0.056862991407804354, ""final_spin"": 0.11279097536534481, ""luminosity_distance"": 0.05480410675825525}"
GW240703_191355,0.03589147962944739,"{""chi_eff"": 0.13911560446846918, ""chirp_mass_source"": 0.03589147962944739, ""final_mass_source"": 0.02297220681764787, ""final_spin"": 0.09753305761975987, ""luminosity_distance"": 0.027031188976134365}"
GW240716_034900,0.09168362983164884,"{""chi_eff"": 0.0864830850067805, ""chirp_mass_source"": 0.05658117856907279, ""final_mass_source"": 0.1286255551314953, ""final_spin"": 0.09168362983164884, ""luminosity_distance"": 0.1451151636357957}"
GW240924_000316,0.17246237889433702,"{""chi_eff"": 0.2141585694357818, ""chirp_mass_source"": 0.1539171401623575, ""final_mass_source"": 0.17246237889433702, ""final_spin"": 0.27134065453358985, ""luminosity_distance"": 0.10345470685827461}"
GW241002_030559,0.11220084532189503,"{""chi_eff"": 0.15967903345134776, ""chirp_mass_source"": 0.11220084532189503, ""final_mass_source"": 0.07236273969416711, ""final_spin"": 0.17881426225688454, ""luminosity_distance"": 0.03443886993829101}"
GW241009_022835,0.07935582280398067,"{""chi_eff"": 0.14952069100930843, ""chirp_mass_source"": 0.06250626359361403, ""final_mass_source"": 0.07935582280398067, ""final_spin"": 0.14698102594881265, ""luminosity_distance"": 0.03811803380952062}"
GW241101_220523,0.04990744675399242,"{""chi_eff"": 0.1141824895179691, ""chirp_mass_source"": 0.006892373408395572, ""final_mass_source"": 0.04990744675399242, ""final_spin"": 0.15266159168357174, ""luminosity_distance"": 0.041947575366223726}"
GW241109_033317,0.07869826962900116,"{""chi_eff"": 0.12398697395813298, ""chirp_mass_source"": 0.06142530160872792, ""final_mass_source"": 0.0609140500737485, ""final_spin"": 0.09980130482743022, ""luminosity_distance"": 0.07869826962900116}"
GW241125_010116,0.11579403152645874,"{""chi_eff"": 0.11579403152645874, ""chirp_mass_source"": 0.09650713236457334, ""final_mass_source"": 0.10933550300160899, ""final_spin"": 0.20213987192756008, ""luminosity_distance"": 0.11869005385404428}"
GW241210_120900,0.059598219515624475,"{""chi_eff"": 0.059598219515624475, ""chirp_mass_source"": 0.047404490081676826, ""final_mass_source"": 0.06281101451582086, ""final_spin"": 0.042132790095259276, ""luminosity_distance"": 0.06145985595558222}"
GW241229_155844,0.028127764961844774,"{""chi_eff"": 0.028127764961844774, ""chirp_mass_source"": 0.005421023476268862, ""final_mass_source"": 0.02682933437175313, ""final_spin"": 0.028730666456165444, ""luminosity_distance"": 0.0379462881547279}"
GW241230_084504,0.10238257464254058,"{""chi_eff"": 0.20771822267308976, ""chirp_mass_source"": 0.03860084117299172, ""final_mass_source"": 0.051968991724174754, ""final_spin"": 0.15770665883677776, ""luminosity_distance"": 0.10238257464254058}"
GW250104_015122,0.14616170366269365,"{""chi_eff"": 0.14616170366269365, ""chirp_mass_source"": 0.11494393704668195, ""final_mass_source"": 0.09063731800752635, ""final_spin"": 0.20020974851818724, ""luminosity_distance"": 0.17335008219258763}"
GW250109_074552,0.0726814164796333,"{""chi_eff"": 0.2196406518972358, ""chirp_mass_source"": 0.0726814164796333, ""final_mass_source"": 0.06731540891911328, ""final_spin"": 0.18593614522436616, ""luminosity_distance"": 0.022268963523312722}"
GW250118_023225,0.07519356624695644,"{""chi_eff"": 0.11225123565309475, ""chirp_mass_source"": 0.07519356624695644, ""final_mass_source"": 0.0783491182884136, ""final_spin"": 0.05401475668966433, ""luminosity_distance"": 0.07465196053974148}"
GW250118_170523,0.09588448763015091,"{""chi_eff"": 0.1737590482326964, ""chirp_mass_source"": 0.108055400350071, ""final_mass_source"": 0.08394101981154663, ""final_spin"": 0.09588448763015091, ""luminosity_distance"": 0.05286041239488092}"
