event,model,parameter,raw_values_read,finite_values,nonfinite_values,minimum_20_pass
GW240414_054515,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,14167,14167,0,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,chi_eff,14167,14167,0,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,luminosity_distance,14167,14167,0,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,final_mass_source,14167,14167,0,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,final_spin,14167,14167,0,True
GW240414_054515,IMRPhenomXPNR,chirp_mass_source,13285,13285,0,True
GW240414_054515,IMRPhenomXPNR,chi_eff,13285,13285,0,True
GW240414_054515,IMRPhenomXPNR,luminosity_distance,13285,13285,0,True
GW240414_054515,IMRPhenomXPNR,final_mass_source,13285,13285,0,True
GW240414_054515,IMRPhenomXPNR,final_spin,13285,13285,0,True
GW240414_054515,NRSur7dq4,chirp_mass_source,15153,15153,0,True
GW240414_054515,NRSur7dq4,chi_eff,15153,15153,0,True
GW240414_054515,NRSur7dq4,luminosity_distance,15153,15153,0,True
GW240414_054515,NRSur7dq4,final_mass_source,15153,15153,0,True
GW240414_054515,NRSur7dq4,final_spin,15153,15153,0,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,11908,11908,0,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,chi_eff,11908,11908,0,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,luminosity_distance,11908,11908,0,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,final_mass_source,11908,11908,0,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,final_spin,11908,11908,0,True
GW240420_175625,IMRPhenomXPNR,chirp_mass_source,14107,14107,0,True
GW240420_175625,IMRPhenomXPNR,chi_eff,14107,14107,0,True
GW240420_175625,IMRPhenomXPNR,luminosity_distance,14107,14107,0,True
GW240420_175625,IMRPhenomXPNR,final_mass_source,14107,14107,0,True
GW240420_175625,IMRPhenomXPNR,final_spin,14107,14107,0,True
GW240420_175625,NRSur7dq4,chirp_mass_source,12184,12184,0,True
GW240420_175625,NRSur7dq4,chi_eff,12184,12184,0,True
GW240420_175625,NRSur7dq4,luminosity_distance,12184,12184,0,True
GW240420_175625,NRSur7dq4,final_mass_source,12184,12184,0,True
GW240420_175625,NRSur7dq4,final_spin,12184,12184,0,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,14745,14745,0,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,chi_eff,14745,14745,0,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,luminosity_distance,14745,14745,0,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,final_mass_source,14745,14745,0,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,final_spin,14745,14745,0,True
GW240426_031451,IMRPhenomXPNR,chirp_mass_source,14249,14249,0,True
GW240426_031451,IMRPhenomXPNR,chi_eff,14249,14249,0,True
GW240426_031451,IMRPhenomXPNR,luminosity_distance,14249,14249,0,True
GW240426_031451,IMRPhenomXPNR,final_mass_source,14249,14249,0,True
GW240426_031451,IMRPhenomXPNR,final_spin,14249,14249,0,True
GW240426_031451,NRSur7dq4,chirp_mass_source,14213,14213,0,True
GW240426_031451,NRSur7dq4,chi_eff,14213,14213,0,True
GW240426_031451,NRSur7dq4,luminosity_distance,14213,14213,0,True
GW240426_031451,NRSur7dq4,final_mass_source,14213,14213,0,True
GW240426_031451,NRSur7dq4,final_spin,14213,14213,0,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,13399,13399,0,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,chi_eff,13399,13399,0,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,luminosity_distance,13399,13399,0,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,final_mass_source,13399,13399,0,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,final_spin,13399,13399,0,True
GW240505_133552,IMRPhenomXPNR,chirp_mass_source,15213,15213,0,True
GW240505_133552,IMRPhenomXPNR,chi_eff,15213,15213,0,True
GW240505_133552,IMRPhenomXPNR,luminosity_distance,15213,15213,0,True
GW240505_133552,IMRPhenomXPNR,final_mass_source,15213,15213,0,True
GW240505_133552,IMRPhenomXPNR,final_spin,15213,15213,0,True
GW240505_133552,NRSur7dq4,chirp_mass_source,13556,13556,0,True
GW240505_133552,NRSur7dq4,chi_eff,13556,13556,0,True
GW240505_133552,NRSur7dq4,luminosity_distance,13556,13556,0,True
GW240505_133552,NRSur7dq4,final_mass_source,13556,13556,0,True
GW240505_133552,NRSur7dq4,final_spin,13556,13556,0,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,16489,16489,0,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,chi_eff,16489,16489,0,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,luminosity_distance,16489,16489,0,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,final_mass_source,16489,16489,0,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,final_spin,16489,16489,0,True
GW240515_005301,IMRPhenomXPNR,chirp_mass_source,15397,15397,0,True
GW240515_005301,IMRPhenomXPNR,chi_eff,15397,15397,0,True
GW240515_005301,IMRPhenomXPNR,luminosity_distance,15397,15397,0,True
GW240515_005301,IMRPhenomXPNR,final_mass_source,15397,15397,0,True
GW240515_005301,IMRPhenomXPNR,final_spin,15397,15397,0,True
GW240515_005301,NRSur7dq4,chirp_mass_source,12153,12153,0,True
GW240515_005301,NRSur7dq4,chi_eff,12153,12153,0,True
GW240515_005301,NRSur7dq4,luminosity_distance,12153,12153,0,True
GW240515_005301,NRSur7dq4,final_mass_source,12153,12153,0,True
GW240515_005301,NRSur7dq4,final_spin,12153,12153,0,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,15339,15339,0,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,chi_eff,15339,15339,0,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,luminosity_distance,15339,15339,0,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,final_mass_source,15339,15339,0,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,final_spin,15339,15339,0,True
GW240618_071627,IMRPhenomXPNR,chirp_mass_source,14913,14913,0,True
GW240618_071627,IMRPhenomXPNR,chi_eff,14913,14913,0,True
GW240618_071627,IMRPhenomXPNR,luminosity_distance,14913,14913,0,True
GW240618_071627,IMRPhenomXPNR,final_mass_source,14913,14913,0,True
GW240618_071627,IMRPhenomXPNR,final_spin,14913,14913,0,True
GW240618_071627,NRSur7dq4,chirp_mass_source,14863,14863,0,True
GW240618_071627,NRSur7dq4,chi_eff,14863,14863,0,True
GW240618_071627,NRSur7dq4,luminosity_distance,14863,14863,0,True
GW240618_071627,NRSur7dq4,final_mass_source,14863,14863,0,True
GW240618_071627,NRSur7dq4,final_spin,14863,14863,0,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,14901,14901,0,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,chi_eff,14901,14901,0,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,luminosity_distance,14901,14901,0,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,final_mass_source,14901,14901,0,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,final_spin,14901,14901,0,True
GW240621_214041,IMRPhenomXPNR,chirp_mass_source,15454,15454,0,True
GW240621_214041,IMRPhenomXPNR,chi_eff,15454,15454,0,True
GW240621_214041,IMRPhenomXPNR,luminosity_distance,15454,15454,0,True
GW240621_214041,IMRPhenomXPNR,final_mass_source,15454,15454,0,True
GW240621_214041,IMRPhenomXPNR,final_spin,15454,15454,0,True
GW240621_214041,NRSur7dq4,chirp_mass_source,16177,16177,0,True
GW240621_214041,NRSur7dq4,chi_eff,16177,16177,0,True
GW240621_214041,NRSur7dq4,luminosity_distance,16177,16177,0,True
GW240621_214041,NRSur7dq4,final_mass_source,16177,16177,0,True
GW240621_214041,NRSur7dq4,final_spin,16177,16177,0,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,17705,17705,0,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,chi_eff,17705,17705,0,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,luminosity_distance,17705,17705,0,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,final_mass_source,17705,17705,0,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,final_spin,17705,17705,0,True
GW240703_191355,IMRPhenomXPNR,chirp_mass_source,18079,18079,0,True
GW240703_191355,IMRPhenomXPNR,chi_eff,18079,18079,0,True
GW240703_191355,IMRPhenomXPNR,luminosity_distance,18079,18079,0,True
GW240703_191355,IMRPhenomXPNR,final_mass_source,18079,18079,0,True
GW240703_191355,IMRPhenomXPNR,final_spin,18079,18079,0,True
GW240703_191355,NRSur7dq4,chirp_mass_source,15434,15434,0,True
GW240703_191355,NRSur7dq4,chi_eff,15434,15434,0,True
GW240703_191355,NRSur7dq4,luminosity_distance,15434,15434,0,True
GW240703_191355,NRSur7dq4,final_mass_source,15434,15434,0,True
GW240703_191355,NRSur7dq4,final_spin,15434,15434,0,True
GW240716_034900,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,18295,18295,0,True
GW240716_034900,IMRPhenomXPHM-SpinTaylor,chi_eff,18295,18295,0,True
GW240716_034900,IMRPhenomXPHM-SpinTaylor,luminosity_distance,18295,18295,0,True
