event,parameter,model_a,model_b,corrected_S90
GW240414_054515,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.09885868194075398
GW240414_054515,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05306360270948478
GW240414_054515,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.047036445781359106
GW240414_054515,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.1751575679911874
GW240414_054515,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.09825329378889297
GW240414_054515,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.08201915996434057
GW240414_054515,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.037529463998911716
GW240414_054515,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.004086057587709146
GW240414_054515,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.04148805469716252
GW240414_054515,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04367536661082491
GW240414_054515,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05589960487598824
GW240414_054515,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.010664880055195603
GW240414_054515,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.17057895112095828
GW240414_054515,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.11451807547379896
GW240414_054515,final_spin,IMRPhenomXPNR,NRSur7dq4,0.06360263042105563
GW240420_175625,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.009722636460222414
GW240420_175625,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.019951162508007426
GW240420_175625,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.029977958351554906
GW240420_175625,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.10658474272946294
GW240420_175625,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.048724271649234936
GW240420_175625,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.05995450032230998
GW240420_175625,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.006043949710480634
GW240420_175625,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03411754546299809
GW240420_175625,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.02845070523035861
GW240420_175625,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.00198589124808464
GW240420_175625,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.014177770909614688
GW240420_175625,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.016208986646964938
GW240420_175625,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.08311562509961004
GW240420_175625,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.10273736768555741
GW240420_175625,final_spin,IMRPhenomXPNR,NRSur7dq4,0.016029069609977832
GW240426_031451,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04197126160041598
GW240426_031451,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.015036467132157267
GW240426_031451,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.057629531283402265
GW240426_031451,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.10929027711624488
GW240426_031451,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.005257296566829562
GW240426_031451,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.10488175627510733
GW240426_031451,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03948741276231814
GW240426_031451,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.00596862916863755
GW240426_031451,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.0454372371089055
GW240426_031451,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.021357404654184967
GW240426_031451,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.041485897227218786
GW240426_031451,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.06234044630247003
GW240426_031451,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.09289438078792624
GW240426_031451,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06388644771654768
GW240426_031451,final_spin,IMRPhenomXPNR,NRSur7dq4,0.03135363525251205
GW240505_133552,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.012936082274642654
GW240505_133552,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.024168698499380303
GW240505_133552,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.011094299526064362
GW240505_133552,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.08532369931173753
GW240505_133552,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.019979638498051903
GW240505_133552,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.06475553148570312
GW240505_133552,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.013748302240934604
GW240505_133552,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.00394528380416741
