event,missing_models,masked_fields,summary_filenames,expected_filename,summary_filename_pass,zenodo_file_manifest_pass
GW230518_125908,C00:SEOBNRv5PHM|C00:NRSur7dq4,C00:IMRPhenomXPHM-SpinTaylor:final_mass_source_median.mask|C00:IMRPhenomXPHM-SpinTaylor:final_mass_source_lower.mask|C00:IMRPhenomXPHM-SpinTaylor:final_mass_source_upper.mask|C00:IMRPhenomXPHM-SpinTaylor:final_spin_median.mask|C00:IMRPhenomXPHM-SpinTaylor:final_spin_lower.mask|C00:IMRPhenomXPHM-SpinTaylor:final_spin_upper.mask,IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5,True,True
GW230605_065343,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5,True,True
GW230624_113103,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5,True,True
GW230627_015337,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5,True,True
GW230630_234532,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5,True,True
GW230704_212616,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5,True,True
GW230706_104333,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5,True,True
GW230712_090405,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5,True,True
GW230723_101834,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5,True,True
GW230729_082317,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5,True,True
