event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW230601_224134,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chirp_mass_source,14022,14498,0.22643019662767044,7.340784275914352,0.03084550480125188,2.7755575615628914e-17,64230988,4000,0.020570809983785517,0.03136609191642407,0.049095594973176754
GW230601_224134,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chi_eff,14022,14498,0.0063169275899349845,0.22981940508633822,0.0274864848229933,8.673617379884035e-19,342083133,4000,0.017172691694111085,0.03297940033747444,0.053349703539308964
GW230601_224134,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,luminosity_distance,14022,14498,26.453849048754325,1729.2267140610027,0.015298080253819802,3.552713678800501e-15,240698703,4000,0.012858465438729016,0.02210312065534381,0.03567975203843855
GW230601_224134,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,final_mass_source,14022,14498,0.3727997886417149,14.699096712168334,0.025362088293024193,0.0,366493860,4000,0.016086039466009238,0.027234105264142716,0.04732827037097094
GW230601_224134,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,final_spin,14022,14498,0.0021776022621720703,0.09123586797281613,0.023867830827464593,0.0,871756242,4000,0.023034029218114625,0.03290479574443905,0.05051738862136187
GW230601_224134,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,14022,14313,0.09511120815110756,7.4093596918371,0.012836629898787569,1.3877787807814457e-17,438101507,4000,0.013412042249742791,0.019746530583239823,0.030362674561604446
GW230601_224134,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,14022,14313,0.005387488638584042,0.22360396579273553,0.02409388679437756,0.0,743919216,4000,0.019443659764703955,0.030329539960832288,0.044997460782693705
GW230601_224134,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,14022,14313,18.519318352186833,1727.7811252613706,0.01071855577157397,3.552713678800501e-15,702989569,4000,0.01150033931318193,0.017385394373105646,0.03303706139268829
GW230601_224134,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,14022,14313,0.5251806477515724,14.857946993039164,0.03534678431667683,0.0,885839310,4000,0.01965990850783836,0.03666069659584552,0.05957376623256747
GW230601_224134,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,14022,14313,0.006961260236922775,0.08643300148802907,0.08053937867571227,8.673617379884035e-19,260109463,4000,0.07283540862697309,0.0859543480376081,0.10032791518553158
