event,predictor,full_response,balanced_response,full_cell_count,predictor_rank,full_response_rank,rank_difference
GW230601_224134,0.028531434825478225,0.02409388679437756,0.029407322053068518,15,8.0,6.0,-2.0
GW230606_004305,0.035416090475705014,0.038171610425381336,0.04252034189815741,15,14.0,15.0,1.0
GW230608_205047,0.020364089200639035,0.022688581386793596,0.030562222617026555,15,2.0,4.0,2.0
GW230609_064958,0.025219401294831235,0.021127499392857133,0.029870090592239364,15,6.0,3.0,-3.0
GW230628_231200,0.13448269188460898,0.12204248773113398,0.12286548719675625,15,37.0,38.0,1.0
GW230630_125806,0.11120716037625336,0.08979918591816895,0.09611707435619932,15,32.0,33.0,1.0
GW230702_185453,0.10526539502582338,0.10146965439930113,0.10186894050396045,15,31.0,35.0,4.0
GW230704_021211,0.03365774563282887,0.03060760205398149,0.030852984640967238,15,12.0,9.0,-3.0
GW230707_124047,0.07883831073606734,0.08046767180034055,0.07695041988208848,15,27.0,29.0,2.0
GW230708_053705,0.08099667682431863,0.0622194930556749,0.07055403738784125,15,28.0,25.0,-3.0
GW230708_230935,0.08413110013404906,0.06511425923875984,0.06961451074969469,15,29.0,26.0,-3.0
GW230709_122727,0.0377526529259943,0.03645262516975854,0.03986113328502763,15,15.0,13.0,-2.0
GW230726_002940,0.03418325269073396,0.030127648537662814,0.03596736045547593,15,13.0,8.0,-5.0
GW230805_034249,0.115151336888547,0.0993312349582802,0.09785517600325591,15,33.0,34.0,1.0
GW230806_204041,0.03139077553690123,0.02103826968460994,0.033242554309283384,15,11.0,2.0,-9.0
GW230811_032116,0.02996423473098553,0.037021958422978805,0.0459606315260669,15,10.0,14.0,4.0
GW230814_061920,0.11986829224714053,0.0827231296339077,0.08646414754073048,15,34.0,31.0,-3.0
GW230814_230901,0.10244942703968238,0.1192044572720954,0.11726383754717784,15,30.0,37.0,7.0
GW230824_033047,0.02977564685806173,0.029852357503511333,0.03436126617213116,15,9.0,7.0,-2.0
GW230825_041334,0.19901315810581455,0.13341536035783025,0.13113025230430053,15,40.0,41.0,1.0
GW230914_111401,0.07675048250308837,0.08005591488328002,0.07889137578032082,15,25.0,28.0,3.0
GW230920_071124,0.05689386724293371,0.06151750970737012,0.05632507353484872,15,22.0,24.0,2.0
GW230922_020344,0.16180623242053727,0.13203784145654743,0.13179522293752993,15,39.0,40.0,1.0
GW230922_040658,0.06709783859826399,0.048703427905289594,0.05528492599269788,15,23.0,20.0,-3.0
GW230924_124453,0.02583546138689332,0.032532151133636104,0.035634796212913517,15,7.0,10.0,3.0
GW230927_043729,0.05688767414851914,0.03985961246513452,0.04420814193028502,15,21.0,17.0,-4.0
GW230928_215827,0.19922577110394904,0.11290157886699614,0.12006987903248276,15,41.0,36.0,-5.0
GW230930_110730,0.023854907497680083,0.02081106108540429,0.026934703779688186,15,4.0,1.0,-3.0
GW231005_091549,0.04829269919721429,0.04008752324973876,0.03873338063600519,15,17.0,18.0,1.0
GW231008_142521,0.06898086506209188,0.07644206505558436,0.07327227321943637,15,24.0,27.0,3.0
GW231028_153006,0.4104373908612955,0.3052495489944671,0.3093488336811187,15,43.0,43.0,0.0
GW231029_111508,0.053791917810496824,0.05326851603840995,0.0586823250823711,15,19.0,22.0,3.0
GW231102_071736,0.07758976364127514,0.06070709185553448,0.055915785703141235,15,26.0,23.0,-3.0
GW231118_071402,0.052873091418812926,0.052158267912206235,0.05553650417178306,15,18.0,21.0,3.0
GW231119_075248,0.02340538841947595,0.02343741168470058,0.029424161004414466,15,3.0,5.0,2.0
GW231123_135430,1.8148762009655421,0.8710380428279254,0.8728945279427975,15,44.0,44.0,0.0
GW231127_165300,0.017818038426800548,0.0328586578537406,0.03458197228113552,15,1.0,12.0,11.0
GW231129_081745,0.024276764958498585,0.039703949278498865,0.04260923914069366,15,5.0,16.0,11.0
GW231206_233134,0.12579593741900913,0.08823010996426903,0.0884090423632275,15,36.0,32.0,-4.0
GW231206_233901,0.2077333904622347,0.17142459640209853,0.1741522067118973,15,42.0,42.0,0.0
GW231213_111417,0.05575090599247493,0.03266229950615153,0.04120889878987939,15,20.0,11.0,-9.0
GW231223_032836,0.04710617499647686,0.04066420055555664,0.04528430645075479,15,16.0,19.0,3.0
GW231226_101520,0.12256000505079064,0.08128912546240344,0.08316783613110884,15,35.0,30.0,-5.0
GW240104_164932,0.15435440089706018,0.13135435751143312,0.13553098929644208,15,38.0,39.0,1.0
