event,predictor,parameter_maximum_S90_json
GW230601_224134,0.028531434825478225,"{""chi_eff"": 0.028531434825478225, ""chirp_mass_source"": 0.025943486472287884, ""final_mass_source"": 0.039597990042032724, ""final_spin"": 0.03197601986031013, ""luminosity_distance"": 0.023516751395742917}"
GW230606_004305,0.035416090475705014,"{""chi_eff"": 0.03948357775435285, ""chirp_mass_source"": 0.03552257142228932, ""final_mass_source"": 0.027773088389857675, ""final_spin"": 0.035416090475705014, ""luminosity_distance"": 0.021452646417628438}"
GW230608_205047,0.020364089200639035,"{""chi_eff"": 0.04949249043900367, ""chirp_mass_source"": 0.007269684096360484, ""final_mass_source"": 0.020364089200639035, ""final_spin"": 0.08849907460747426, ""luminosity_distance"": 0.0108267345966115}"
GW230609_064958,0.025219401294831235,"{""chi_eff"": 0.08025205900631263, ""chirp_mass_source"": 0.010080514474848288, ""final_mass_source"": 0.025219401294831235, ""final_spin"": 0.06870437859497837, ""luminosity_distance"": 0.00586498619201165}"
GW230628_231200,0.13448269188460898,"{""chi_eff"": 0.1360036487635397, ""chirp_mass_source"": 0.12163559143301682, ""final_mass_source"": 0.10230480559747276, ""final_spin"": 0.19219668311925386, ""luminosity_distance"": 0.13448269188460898}"
GW230630_125806,0.11120716037625336,"{""chi_eff"": 0.11120716037625336, ""chirp_mass_source"": 0.0920886346017022, ""final_mass_source"": 0.11970102183727241, ""final_spin"": 0.1942950053375519, ""luminosity_distance"": 0.10412521696554554}"
GW230702_185453,0.10526539502582338,"{""chi_eff"": 0.0941556453703194, ""chirp_mass_source"": 0.14878207684492697, ""final_mass_source"": 0.08884388615305511, ""final_spin"": 0.10526539502582338, ""luminosity_distance"": 0.13615720447419027}"
GW230704_021211,0.03365774563282887,"{""chi_eff"": 0.04745705033165749, ""chirp_mass_source"": 0.03365774563282887, ""final_mass_source"": 0.020416538251255136, ""final_spin"": 0.04640813647319324, ""luminosity_distance"": 0.0026218180907806674}"
GW230707_124047,0.07883831073606734,"{""chi_eff"": 0.06985172485051232, ""chirp_mass_source"": 0.07995756809569657, ""final_mass_source"": 0.06750006282913042, ""final_spin"": 0.12818058573774482, ""luminosity_distance"": 0.07883831073606734}"
GW230708_053705,0.08099667682431863,"{""chi_eff"": 0.09106788842414494, ""chirp_mass_source"": 0.07536017340573829, ""final_mass_source"": 0.08099667682431863, ""final_spin"": 0.13223835704485662, ""luminosity_distance"": 0.048035743740321844}"
GW230708_230935,0.08413110013404906,"{""chi_eff"": 0.08413110013404906, ""chirp_mass_source"": 0.04660773488526628, ""final_mass_source"": 0.086036868855963, ""final_spin"": 0.11670312552765628, ""luminosity_distance"": 0.04319441537320067}"
GW230709_122727,0.0377526529259943,"{""chi_eff"": 0.0377526529259943, ""chirp_mass_source"": 0.03678874538853656, ""final_mass_source"": 0.04334237549778405, ""final_spin"": 0.09254616441163399, ""luminosity_distance"": 0.03631892066353112}"
GW230726_002940,0.03418325269073396,"{""chi_eff"": 0.06785504209795212, ""chirp_mass_source"": 0.013228407925803301, ""final_mass_source"": 0.03418325269073396, ""final_spin"": 0.11635794135640384, ""luminosity_distance"": 0.01052861241285407}"
GW230805_034249,0.115151336888547,"{""chi_eff"": 0.11350126963843483, ""chirp_mass_source"": 0.040667542964496095, ""final_mass_source"": 0.1454224247080658, ""final_spin"": 0.2096688690937063, ""luminosity_distance"": 0.115151336888547}"
GW230806_204041,0.03139077553690123,"{""chi_eff"": 0.0621554467664931, ""chirp_mass_source"": 0.03139077553690123, ""final_mass_source"": 0.02164371031841664, ""final_spin"": 0.10532234149911986, ""luminosity_distance"": 0.02429383518194082}"
GW230811_032116,0.02996423473098553,"{""chi_eff"": 0.02749527118505268, ""chirp_mass_source"": 0.02996423473098553, ""final_mass_source"": 0.08095984376175128, ""final_spin"": 0.11974823610284106, ""luminosity_distance"": 0.02844504639589617}"
