event,model,parameter,raw_values_read,finite_values,nonfinite_values,minimum_20_pass
GW230601_224134,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,14022,14022,0,True
GW230601_224134,IMRPhenomXPHM-SpinTaylor,chi_eff,14022,14022,0,True
GW230601_224134,IMRPhenomXPHM-SpinTaylor,luminosity_distance,14022,14022,0,True
GW230601_224134,IMRPhenomXPHM-SpinTaylor,final_mass_source,14022,14022,0,True
GW230601_224134,IMRPhenomXPHM-SpinTaylor,final_spin,14022,14022,0,True
GW230601_224134,SEOBNRv5PHM,chirp_mass_source,14498,14498,0,True
GW230601_224134,SEOBNRv5PHM,chi_eff,14498,14498,0,True
GW230601_224134,SEOBNRv5PHM,luminosity_distance,14498,14498,0,True
GW230601_224134,SEOBNRv5PHM,final_mass_source,14498,14498,0,True
GW230601_224134,SEOBNRv5PHM,final_spin,14498,14498,0,True
GW230601_224134,NRSur7dq4,chirp_mass_source,14313,14313,0,True
GW230601_224134,NRSur7dq4,chi_eff,14313,14313,0,True
GW230601_224134,NRSur7dq4,luminosity_distance,14313,14313,0,True
GW230601_224134,NRSur7dq4,final_mass_source,14313,14313,0,True
GW230601_224134,NRSur7dq4,final_spin,14313,14313,0,True
GW230606_004305,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,13973,13973,0,True
GW230606_004305,IMRPhenomXPHM-SpinTaylor,chi_eff,13973,13973,0,True
GW230606_004305,IMRPhenomXPHM-SpinTaylor,luminosity_distance,13973,13973,0,True
GW230606_004305,IMRPhenomXPHM-SpinTaylor,final_mass_source,13973,13973,0,True
GW230606_004305,IMRPhenomXPHM-SpinTaylor,final_spin,13973,13973,0,True
GW230606_004305,SEOBNRv5PHM,chirp_mass_source,15737,15737,0,True
GW230606_004305,SEOBNRv5PHM,chi_eff,15737,15737,0,True
GW230606_004305,SEOBNRv5PHM,luminosity_distance,15737,15737,0,True
GW230606_004305,SEOBNRv5PHM,final_mass_source,15737,15737,0,True
GW230606_004305,SEOBNRv5PHM,final_spin,15737,15737,0,True
GW230606_004305,NRSur7dq4,chirp_mass_source,15616,15616,0,True
GW230606_004305,NRSur7dq4,chi_eff,15616,15616,0,True
GW230606_004305,NRSur7dq4,luminosity_distance,15616,15616,0,True
GW230606_004305,NRSur7dq4,final_mass_source,15616,15616,0,True
GW230606_004305,NRSur7dq4,final_spin,15616,15616,0,True
GW230608_205047,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,15487,15487,0,True
GW230608_205047,IMRPhenomXPHM-SpinTaylor,chi_eff,15487,15487,0,True
GW230608_205047,IMRPhenomXPHM-SpinTaylor,luminosity_distance,15487,15487,0,True
GW230608_205047,IMRPhenomXPHM-SpinTaylor,final_mass_source,15487,15487,0,True
GW230608_205047,IMRPhenomXPHM-SpinTaylor,final_spin,15487,15487,0,True
GW230608_205047,SEOBNRv5PHM,chirp_mass_source,14538,14538,0,True
GW230608_205047,SEOBNRv5PHM,chi_eff,14538,14538,0,True
GW230608_205047,SEOBNRv5PHM,luminosity_distance,14538,14538,0,True
GW230608_205047,SEOBNRv5PHM,final_mass_source,14538,14538,0,True
GW230608_205047,SEOBNRv5PHM,final_spin,14538,14538,0,True
GW230608_205047,NRSur7dq4,chirp_mass_source,16266,16266,0,True
GW230608_205047,NRSur7dq4,chi_eff,16266,16266,0,True
GW230608_205047,NRSur7dq4,luminosity_distance,16266,16266,0,True
GW230608_205047,NRSur7dq4,final_mass_source,16266,16266,0,True
GW230608_205047,NRSur7dq4,final_spin,16266,16266,0,True
GW230609_064958,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,13615,13615,0,True
GW230609_064958,IMRPhenomXPHM-SpinTaylor,chi_eff,13615,13615,0,True
GW230609_064958,IMRPhenomXPHM-SpinTaylor,luminosity_distance,13615,13615,0,True
GW230609_064958,IMRPhenomXPHM-SpinTaylor,final_mass_source,13615,13615,0,True
GW230609_064958,IMRPhenomXPHM-SpinTaylor,final_spin,13615,13615,0,True
GW230609_064958,SEOBNRv5PHM,chirp_mass_source,13771,13771,0,True
GW230609_064958,SEOBNRv5PHM,chi_eff,13771,13771,0,True
GW230609_064958,SEOBNRv5PHM,luminosity_distance,13771,13771,0,True
GW230609_064958,SEOBNRv5PHM,final_mass_source,13771,13771,0,True
GW230609_064958,SEOBNRv5PHM,final_spin,13771,13771,0,True
GW230609_064958,NRSur7dq4,chirp_mass_source,15169,15169,0,True
GW230609_064958,NRSur7dq4,chi_eff,15169,15169,0,True
GW230609_064958,NRSur7dq4,luminosity_distance,15169,15169,0,True
GW230609_064958,NRSur7dq4,final_mass_source,15169,15169,0,True
GW230609_064958,NRSur7dq4,final_spin,15169,15169,0,True
GW230628_231200,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,12876,12876,0,True
GW230628_231200,IMRPhenomXPHM-SpinTaylor,chi_eff,12876,12876,0,True
GW230628_231200,IMRPhenomXPHM-SpinTaylor,luminosity_distance,12876,12876,0,True
GW230628_231200,IMRPhenomXPHM-SpinTaylor,final_mass_source,12876,12876,0,True
GW230628_231200,IMRPhenomXPHM-SpinTaylor,final_spin,12876,12876,0,True
GW230628_231200,SEOBNRv5PHM,chirp_mass_source,14017,14017,0,True
GW230628_231200,SEOBNRv5PHM,chi_eff,14017,14017,0,True
GW230628_231200,SEOBNRv5PHM,luminosity_distance,14017,14017,0,True
GW230628_231200,SEOBNRv5PHM,final_mass_source,14017,14017,0,True
GW230628_231200,SEOBNRv5PHM,final_spin,14017,14017,0,True
GW230628_231200,NRSur7dq4,chirp_mass_source,15047,15047,0,True
GW230628_231200,NRSur7dq4,chi_eff,15047,15047,0,True
GW230628_231200,NRSur7dq4,luminosity_distance,15047,15047,0,True
GW230628_231200,NRSur7dq4,final_mass_source,15047,15047,0,True
GW230628_231200,NRSur7dq4,final_spin,15047,15047,0,True
GW230630_125806,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,13778,13778,0,True
GW230630_125806,IMRPhenomXPHM-SpinTaylor,chi_eff,13778,13778,0,True
GW230630_125806,IMRPhenomXPHM-SpinTaylor,luminosity_distance,13778,13778,0,True
